"","1 Ano","3 Anos"
"2013-05-13",NA,NA
"2013-05-14",NA,NA
"2013-05-15",NA,NA
"2013-05-16",NA,NA
"2013-05-17",NA,NA
"2013-05-20",NA,NA
"2013-05-21",NA,NA
"2013-05-22",NA,NA
"2013-05-23",NA,NA
"2013-05-24",NA,NA
"2013-05-27",NA,NA
"2013-05-28",NA,NA
"2013-05-29",NA,NA
"2013-05-30",NA,NA
"2013-05-31",NA,NA
"2013-06-03",NA,NA
"2013-06-04",NA,NA
"2013-06-05",NA,NA
"2013-06-06",NA,NA
"2013-06-07",NA,NA
"2013-06-10",NA,NA
"2013-06-11",NA,NA
"2013-06-12",NA,NA
"2013-06-13",NA,NA
"2013-06-14",NA,NA
"2013-06-17",NA,NA
"2013-06-18",NA,NA
"2013-06-19",NA,NA
"2013-06-20",NA,NA
"2013-06-21",NA,NA
"2013-06-24",NA,NA
"2013-06-25",NA,NA
"2013-06-26",NA,NA
"2013-06-27",NA,NA
"2013-06-28",NA,NA
"2013-07-01",NA,NA
"2013-07-02",NA,NA
"2013-07-03",NA,NA
"2013-07-04",NA,NA
"2013-07-05",NA,NA
"2013-07-08",NA,NA
"2013-07-09",NA,NA
"2013-07-10",NA,NA
"2013-07-11",NA,NA
"2013-07-12",NA,NA
"2013-07-15",NA,NA
"2013-07-16",NA,NA
"2013-07-17",NA,NA
"2013-07-18",NA,NA
"2013-07-19",NA,NA
"2013-07-22",NA,NA
"2013-07-23",NA,NA
"2013-07-24",NA,NA
"2013-07-25",NA,NA
"2013-07-26",NA,NA
"2013-07-29",NA,NA
"2013-07-30",NA,NA
"2013-07-31",NA,NA
"2013-08-01",NA,NA
"2013-08-02",NA,NA
"2013-08-05",NA,NA
"2013-08-06",NA,NA
"2013-08-07",NA,NA
"2013-08-08",NA,NA
"2013-08-09",NA,NA
"2013-08-12",NA,NA
"2013-08-13",NA,NA
"2013-08-14",NA,NA
"2013-08-15",NA,NA
"2013-08-16",NA,NA
"2013-08-19",NA,NA
"2013-08-20",NA,NA
"2013-08-21",NA,NA
"2013-08-22",NA,NA
"2013-08-23",NA,NA
"2013-08-26",NA,NA
"2013-08-27",NA,NA
"2013-08-28",NA,NA
"2013-08-29",NA,NA
"2013-08-30",NA,NA
"2013-09-02",NA,NA
"2013-09-03",NA,NA
"2013-09-04",NA,NA
"2013-09-05",NA,NA
"2013-09-06",NA,NA
"2013-09-09",NA,NA
"2013-09-10",NA,NA
"2013-09-11",NA,NA
"2013-09-12",NA,NA
"2013-09-13",NA,NA
"2013-09-16",NA,NA
"2013-09-17",NA,NA
"2013-09-18",NA,NA
"2013-09-19",NA,NA
"2013-09-20",NA,NA
