"Date","Price","Open","High","Low","Vol.","Change %"
"May 17, 2021","114.98","115.40","115.40","114.82","2.19K","-0.10%"
"May 14, 2021","115.10","115.51","115.51","115.10","1.30K","-0.42%"
"May 13, 2021","115.58","115.57","115.58","115.33","1.51K","0.06%"
"May 12, 2021","115.51","115.26","115.53","114.98","1.75K","0.52%"
"May 11, 2021","114.91","115.00","115.10","114.86","3.19K","-0.21%"
"May 10, 2021","115.15","115.17","115.20","115.05","2.94K","-0.09%"
"May 07, 2021","115.25","115.67","115.87","115.25","1.41K","-0.70%"
"May 06, 2021","116.06","116.24","116.25","116.01","3.59K","-0.29%"
"May 05, 2021","116.40","116.50","116.50","116.20","3.59K","0.11%"
"May 04, 2021","116.27","116.19","116.33","116.14","2.17K","0.51%"
"May 03, 2021","115.68","116.07","116.08","115.59","2.50K","-0.14%"
"Apr 30, 2021","115.84","115.28","115.88","115.22","2.11K","0.73%"
"Apr 29, 2021","115.00","115.05","115.05","114.85","1.46K","-0.16%"
"Apr 28, 2021","115.19","115.50","115.50","115.19","2.92K","-0.27%"
"Apr 27, 2021","115.50","115.55","115.69","115.33","2.49K","0.00%"
"Apr 26, 2021","115.50","115.50","115.60","115.27","1.55K","-0.24%"
"Apr 23, 2021","115.78","115.90","115.98","115.66","8.86K","-0.37%"
"Apr 22, 2021","116.21","116.20","116.21","115.83","2.18K","0.17%"
"Apr 21, 2021","116.01","116.23","116.38","116.02","2.37K","-0.04%"
"Apr 20, 2021","116.06","115.73","116.06","115.46","5.88K","0.05%"
"Apr 19, 2021","116.00","116.47","116.47","115.82","2.37K","-0.40%"
"Apr 16, 2021","116.47","116.69","116.69","116.38","2.73K","-0.19%"
"Apr 15, 2021","116.69","116.48","116.71","116.31","2.63K","0.34%"
"Apr 14, 2021","116.30","116.39","116.55","116.30","3.83K","-0.35%"
"Apr 13, 2021","116.71","116.78","116.97","116.64","5.54K","-0.01%"
"Apr 12, 2021","116.72","117.34","117.34","116.72","2.97K","-0.35%"
"Apr 09, 2021","117.13","117.24","117.24","116.94","1.63K","0.04%"
"Apr 08, 2021","117.08","117.15","117.46","117.00","3.35K","-0.08%"
"Apr 07, 2021","117.17","117.27","117.27","116.97","1.18K","-0.16%"
"Apr 06, 2021","117.36","117.84","117.84","117.36","30.08K","-0.65%"
"Apr 01, 2021","118.13","118.29","118.31","118.15","0.89K","-0.14%"
"Mar 31, 2021","118.29","118.26","118.50","118.20","3.84K","-0.11%"
"Mar 30, 2021","118.42","118.15","118.42","118.10","1.88K","0.17%"
"Mar 29, 2021","118.22","118.14","118.38","118.13","1.70K","0.05%"
"Mar 26, 2021","118.16","118.30","118.31","118.13","4.18K","-0.24%"
"Mar 25, 2021","118.44","117.96","118.44","117.90","2.41K","0.61%"
"Mar 24, 2021","117.72","117.81","117.87","117.67","4.24K","0.27%"
"Mar 23, 2021","117.40","117.10","117.40","117.01","1.45K","0.72%"
"Mar 22, 2021","116.56","116.88","116.88","116.56","2.14K","-0.24%"
"Mar 19, 2021","116.84","116.71","116.90","116.71","2.28K","0.41%"
"Mar 18, 2021","116.36","116.33","116.58","116.29","2.90K","-0.39%"
"Mar 17, 2021","116.82","117.00","117.03","116.68","1.95K","-0.19%"
"Mar 16, 2021","117.04","116.97","117.19","116.51","3.49K","0.38%"
"Mar 15, 2021","116.60","116.55","116.78","116.55","4.14K","0.08%"
"Mar 12, 2021","116.51","116.78","116.89","116.50","2.17K","-0.06%"
"Mar 11, 2021","116.58","117.09","117.09","116.58","3.28K","-0.52%"
"Mar 10, 2021","117.19","117.31","117.31","116.87","3.00K","0.07%"
"Mar 09, 2021","117.11","117.29","117.29","116.95","3.70K","-0.14%"
"Mar 08, 2021","117.27","116.90","117.35","116.90","2.29K","0.21%"
"Mar 05, 2021","117.02","116.89","117.02","116.67","1.83K","0.86%"
"Mar 04, 2021","116.02","116.29","116.29","116.02","2.83K","0.26%"
"Mar 03, 2021","115.72","115.96","116.16","115.72","1.59K","-0.25%"
"Mar 02, 2021","116.01","116.44","116.46","116.01","5.72K","-0.03%"
"Mar 01, 2021","116.04","116.07","116.27","115.98","2.58K","0.71%"
"Feb 26, 2021","115.22","115.01","115.30","114.99","2.87K","0.67%"
"Feb 25, 2021","114.45","115.21","115.21","114.35","4.65K","-1.12%"
"Feb 24, 2021","115.75","115.80","115.88","115.54","2.90K","0.09%"
"Feb 23, 2021","115.65","115.39","115.80","115.39","3.75K","-0.12%"
"Feb 22, 2021","115.79","116.11","116.13","115.70","2.34K","-0.09%"
"Feb 19, 2021","115.89","116.17","116.17","115.89","2.62K","-0.65%"
"Feb 18, 2021","116.65","116.81","116.89","116.47","6.93K","-0.35%"
"Feb 17, 2021","117.06","116.58","117.14","116.53","2.95K","0.59%"
"Feb 16, 2021","116.37","116.10","116.53","115.90","2.95K","0.11%"
"Feb 15, 2021","116.24","116.20","116.34","116.13","3.12K","-0.33%"
"Feb 12, 2021","116.62","116.84","116.84","116.57","2.27K","0.00%"
"Feb 11, 2021","116.62","116.67","116.67","116.47","1.12K","0.09%"
"Feb 10, 2021","116.51","116.52","116.62","116.36","4.58K","-0.32%"
"Feb 09, 2021","116.88","116.93","117.03","116.73","5.63K","-0.49%"
"Feb 08, 2021","117.46","117.46","117.46","117.04","4.87K","0.00%"
"Feb 05, 2021","117.46","117.92","118.03","117.46","3.37K","-0.54%"
"Feb 04, 2021","118.10","117.81","118.10","117.80","2.22K","0.37%"
"Feb 03, 2021","117.66","117.70","117.75","117.51","2.83K","0.11%"
"Feb 02, 2021","117.53","117.14","117.62","117.12","5.02K","0.20%"
"Feb 01, 2021","117.29","116.59","117.29","116.59","2.41K","0.66%"
"Jan 29, 2021","116.52","116.97","116.97","116.42","2.93K","-0.21%"
"Jan 28, 2021","116.76","117.32","117.32","116.64","3.09K","-0.24%"
"Jan 27, 2021","117.04","116.59","117.34","116.53","5.44K","0.47%"
"Jan 26, 2021","116.49","116.67","116.70","116.39","3.69K","-0.27%"
"Jan 25, 2021","116.80","116.28","116.81","116.04","4.49K","0.59%"
"Jan 22, 2021","116.11","116.30","116.35","116.01","1.44K","-0.33%"
"Jan 21, 2021","116.50","116.72","116.72","116.10","4.22K","-0.30%"
"Jan 20, 2021","116.85","116.30","116.85","116.30","2.47K","0.24%"
"Jan 19, 2021","116.57","116.68","116.70","116.28","6.08K","-0.28%"
"Jan 18, 2021","116.90","117.01","117.22","116.90","21.07K","0.16%"
"Jan 15, 2021","116.71","116.48","116.87","116.27","2.41K","0.43%"
"Jan 14, 2021","116.21","116.18","116.54","115.94","2.78K","-0.43%"
"Jan 13, 2021","116.71","115.77","116.71","115.59","5.79K","1.26%"
"Jan 12, 2021","115.26","116.01","116.01","115.26","4.71K","-0.68%"
"Jan 11, 2021","116.05","115.93","116.29","115.87","2.40K","0.70%"
"Jan 08, 2021","115.24","115.53","115.53","115.00","1.00K","0.17%"
"Jan 07, 2021","115.04","114.91","115.42","114.80","2.12K","-0.07%"
"Jan 06, 2021","115.12","114.87","115.27","114.61","0.84K","-0.29%"
"Jan 05, 2021","115.46","115.69","115.77","115.46","1.68K","-0.13%"
"Jan 04, 2021","115.61","115.54","115.61","115.26","0.79K","0.22%"
"Dec 30, 2020","115.36","115.44","115.57","115.26","1.61K","-0.34%"
"Dec 29, 2020","115.75","115.63","115.79","115.63","0.84K","-0.25%"
"Dec 28, 2020","116.04","115.97","116.23","115.74","4.70K","-0.03%"
"Dec 23, 2020","116.07","116.26","116.56","116.07","5.41K","-0.39%"
"Dec 22, 2020","116.52","116.18","116.52","115.61","5.89K","0.37%"
"Dec 21, 2020","116.09","116.00","116.83","115.98","5.98K","0.10%"
"Dec 18, 2020","115.97","115.65","115.97","115.50","4.08K","0.17%"
"Dec 17, 2020","115.77","115.88","115.89","115.65","2.55K","-0.58%"
"Dec 16, 2020","116.44","116.68","116.68","116.10","5.86K","-0.15%"
"Dec 15, 2020","116.61","116.77","116.77","116.56","1.74K","-0.12%"
"Dec 14, 2020","116.75","116.66","116.88","116.50","3.07K","-0.38%"
"Dec 11, 2020","117.20","116.95","117.20","116.93","2.08K","0.24%"
"Dec 10, 2020","116.92","117.05","117.22","116.50","1.93K","-0.15%"
