DATE,M2V,WALCL
2000-03-31,2.14,
2000-06-30,2.156,
2000-09-30,2.146,
2000-12-31,2.1390000000000002,
2001-03-31,2.0909999999999997,
2001-06-30,2.064,
2001-09-30,2.0180000000000002,
2001-12-31,1.985,
2002-03-31,1.974,
2002-06-30,1.9769999999999999,
2002-09-30,1.9580000000000002,
2002-12-31,1.933,732059.0
2003-03-31,1.92,725019.0
2003-06-30,1.905,744018.0
2003-09-30,1.909,741193.0
2003-12-31,1.944,771551.0
2004-03-31,1.954,760725.0
2004-06-30,1.944,779578.0
2004-09-30,1.953,786330.0
2004-12-31,1.962,810944.0
2005-03-31,1.9880000000000002,807551.0
2005-06-30,1.9969999999999999,810082.0
2005-09-30,2.004,823771.0
2005-12-31,2.006,847700.0
2006-03-31,2.021,833675.0
2006-06-30,2.021,844436.0
2006-09-30,2.009,849971.0
2006-12-31,2.0,869988.0
2007-03-31,1.996,869803.0
2007-06-30,1.9869999999999999,865105.0
2007-09-30,1.9769999999999999,889900.0
2007-12-31,1.976,890662.0
2008-03-31,1.935,893965.0
2008-06-30,1.923,892713.0
2008-09-30,1.903,1211825.0
2008-12-31,1.8090000000000002,2239457.0
2009-03-31,1.733,2071556.0
2009-06-30,1.7080000000000002,2025571.0
2009-09-30,1.71,2141020.0
2009-12-31,1.726,2234067.0
2010-03-31,1.736,2307150.0
2010-06-30,1.743,2330851.0
2010-09-30,1.743,2298691.0
2010-12-31,1.74,2420570.0
2011-03-31,1.723,2622523.0
2011-06-30,1.714,2865251.0
2011-09-30,1.65,2850921.0
2011-12-31,1.643,2926095.0
2012-03-31,1.639,2878137.0
2012-06-30,1.629,2863547.0
2012-09-30,1.6059999999999999,2804457.0
2012-12-31,1.5819999999999999,2907300.0
2013-03-31,1.579,3202256.0
2013-06-30,1.567,3478672.0
2013-09-30,1.5630000000000002,3734018.0
2013-12-31,1.557,4032575.0
2014-03-31,1.536,4226971.0
2014-06-30,1.541,4368348.0
2014-09-30,1.546,4459050.0
2014-12-31,1.538,4497660.0
2015-03-31,1.5219999999999998,4480603.0
2015-06-30,1.524,4495055.0
2015-09-30,1.516,4484111.0
2015-12-31,1.496,4486587.0
2016-03-31,1.47,4482840.0
2016-06-30,1.4609999999999999,4466482.0
2016-09-30,1.4509999999999998,4452002.0
2016-12-31,1.444,4451451.0
2017-03-31,1.4380000000000002,4469618.0
2017-06-30,1.432,4463347.0
2017-09-30,1.435,4455661.0
2017-12-31,1.443,4448680.0
2018-03-31,1.45,4392198.0
2018-06-30,1.459,4305491.0
2018-09-30,1.462,4192909.0
2018-12-31,1.464,4075636.0
2019-03-31,1.4580000000000002,3955617.0
2019-06-30,1.455,3826817.0
2019-09-30,1.442,3857715.0
2019-12-31,1.4269999999999998,4165591.0
