"","4Fundos DEF","4Fundos EW","4Fundos AGR"
"2007-04-23",100.21,100.22,100.23
"2007-04-24",100.06,99.88,99.68
"2007-04-25",100.14,100.1,100.04
"2007-04-26",100.2,100.3,100.4
"2007-04-27",100.1,100.11,100.13
"2007-04-30",100.12,99.98,99.85
"2007-05-01",100.03,99.87,99.69
"2007-05-02",100.31,100.43,100.62
"2007-05-03",100.36,100.59,100.92
"2007-05-04",100.62,100.94,101.41
"2007-05-07",100.61,100.93,101.39
"2007-05-08",100.55,100.84,101.24
"2007-05-09",100.58,100.92,101.36
"2007-05-10",100.32,100.53,100.75
"2007-05-11",100.51,100.8,101.14
"2007-05-14",100.33,100.64,100.94
"2007-05-15",100.19,100.45,100.69
"2007-05-16",100.33,100.68,101.02
"2007-05-17",100.28,100.69,101.09
"2007-05-18",100.44,100.99,101.56
"2007-05-21",100.65,101.35,102.12
"2007-05-22",100.66,101.41,102.21
"2007-05-23",100.58,101.4,102.26
"2007-05-24",100.42,101.14,101.85
"2007-05-25",100.38,101.12,101.85
"2007-05-28",100.37,101.1,101.83
"2007-05-29",100.49,101.34,102.2
"2007-05-30",100.62,101.51,102.49
"2007-05-31",100.78,101.87,103.07
"2007-06-01",100.87,102.16,103.59
"2007-06-04",100.8,102.03,103.35
"2007-06-05",100.53,101.67,102.84
"2007-06-06",100.19,101.07,101.89
"2007-06-07",99.67,100.41,100.97
"2007-06-08",99.67,100.51,101.26
"2007-06-11",99.91,100.86,101.78
"2007-06-12",99.56,100.54,101.41
"2007-06-13",99.57,100.6,101.58
"2007-06-14",99.85,101.07,102.28
"2007-06-15",100.14,101.47,102.87
"2007-06-18",100.12,101.38,102.68
"2007-06-19",100.05,101.18,102.33
"2007-06-20",99.99,101.13,102.23
"2007-06-21",99.91,100.99,102.03
"2007-06-22",99.7,100.64,101.5
"2007-06-25",99.66,100.41,101.08
"2007-06-26",99.55,100.21,100.77
"2007-06-27",99.59,100.2,100.74
"2007-06-28",99.77,100.58,101.39
"2007-06-29",99.86,100.64,101.48
"2007-07-02",99.92,100.61,101.37
"2007-07-03",100.06,100.93,101.95
