Date,S&P 500,DD,<10,Shade
1970-12-21,89.94000244140625,0.0,0,Same
1970-12-22,90.04000091552734,0.0,0,Same
1970-12-23,90.0999984741211,0.0,0,Same
1970-12-24,90.61000061035156,0.0,0,Same
1970-12-28,91.08999633789062,0.0,0,Same
1970-12-29,92.08000183105469,0.0,0,Same
1970-12-30,92.2699966430664,0.0,0,Same
1970-12-31,92.1500015258789,-0.13004781787484543,0,Same
1971-01-04,91.1500015258789,-1.2138237324534007,0,Same
1971-01-05,91.80000305175781,-0.5093677342665304,0,Same
1971-01-06,92.3499984741211,0.0,0,Same
1971-01-07,92.37999725341797,0.0,0,Same
1971-01-08,92.19000244140625,-0.20566661361822725,0,Same
1971-01-11,91.9800033569336,-0.4329875604857425,0,Same
1971-01-12,92.72000122070312,0.0,0,Same
1971-01-13,92.55999755859375,-0.1725665012972888,0,Same
1971-01-14,92.80000305175781,0.0,0,Same
1971-01-15,93.02999877929688,0.0,0,Same
1971-01-18,93.41000366210938,0.0,0,Same
1971-01-19,93.76000213623047,0.0,0,Same
1971-01-20,93.77999877929688,0.0,0,Same
1971-01-21,94.19000244140625,0.0,0,Same
1971-01-22,94.87999725341797,0.0,0,Same
1971-01-25,95.27999877929688,0.0,0,Same
1971-01-26,95.58999633789062,0.0,0,Same
1971-01-27,94.88999938964844,-0.7322910085359235,0,Same
1971-01-28,95.20999908447266,-0.3975282644375855,0,Same
1971-01-29,95.87999725341797,0.0,0,Same
1971-02-01,96.41999816894531,0.0,0,Same
1971-02-02,96.43000030517578,0.0,0,Same
1971-02-03,96.62999725341797,0.0,0,Same
1971-02-04,96.62000274658203,-0.01034306852946143,0,Same
1971-02-05,96.93000030517578,0.0,0,Same
1971-02-08,97.44999694824219,0.0,0,Same
1971-02-09,97.51000213623047,0.0,0,Same
1971-02-10,97.38999938964844,-0.12306711511951285,0,Same
1971-02-11,97.91000366210938,0.0,0,Same
1971-02-12,98.43000030517578,0.0,0,Same
1971-02-16,98.66000366210938,0.0,0,Same
1971-02-17,98.19999694824219,-0.46625450718876804,0,Same
1971-02-18,97.55999755859375,-1.114946343690526,0,Same
1971-02-19,96.73999786376953,-1.9460832425219454,0,Same
1971-02-22,95.72000122070312,-2.9799334403789013,0,Same
1971-02-23,96.08999633789062,-2.6049130638799767,0,Same
1971-02-24,96.7300033569336,-1.9562134943615472,0,Same
1971-02-25,96.95999908447266,-1.7230939737838402,0,Same
1971-02-26,96.75,-1.935945257665661,0,Same
1971-03-01,97.0,-1.6825497673753964,0,Same
1971-03-02,96.9800033569336,-1.7028180040712826,0,Same
1971-03-03,96.94999694824219,-1.7332319586401135,0,Same
1971-03-04,97.91999816894531,-0.7500562190312032,0,Same
1971-03-05,98.95999908447266,0.0,0,Same
1971-03-08,99.37999725341797,0.0,0,Same
1971-03-09,99.45999908447266,0.0,0,Same
1971-03-10,99.30000305175781,-0.16086470358697147,0,Same
1971-03-11,99.38999938964844,-0.07037974609749309,0,Same
1971-03-12,99.56999969482422,0.0,0,Same
1971-03-15,100.70999908447266,0.0,0,Same
1971-03-16,101.20999908447266,0.0,0,Same
1971-03-17,101.12000274658203,-0.08892040184241834,0,Same
1971-03-18,101.19000244140625,-0.019757576570789137,0,Same
1971-03-19,101.01000213623047,-0.19760591843822617,0,Same
1971-03-22,100.62000274658203,-0.5829427361205619,0,Same
1971-03-23,100.27999877929688,-0.9188818432846468,0,Same
1971-03-24,99.62000274658203,-1.570987404676849,0,Same
1971-03-25,99.61000061035156,-1.5808699620535438,0,Same
1971-03-26,99.94999694824219,-1.2449383930720481,0,Same
1971-03-29,100.02999877929688,-1.1658930104237242,0,Same
1971-03-30,100.26000213623047,-0.938639419855436,0,Same
1971-03-31,100.30999755859375,-0.8892417093371741,0,Same
1971-04-01,100.38999938964844,-0.8101963266888501,0,Same
1971-04-02,100.55999755859375,-0.6422305421981078,0,Same
1971-04-05,100.79000091552734,-0.4149769516298196,0,Same
1971-04-06,101.51000213623047,0.0,0,Same
1971-04-07,101.9800033569336,0.0,0,Same
1971-04-08,102.0999984741211,0.0,0,Same
1971-04-12,102.87999725341797,0.0,0,Same
1971-04-13,102.9800033569336,0.0,0,Same
1971-04-14,103.37000274658203,0.0,0,Same
1971-04-15,103.5199966430664,0.0,0,Same
1971-04-16,103.48999786376953,-0.02897872900856635,0,Same
1971-04-19,104.01000213623047,0.0,0,Same
1971-04-20,103.61000061035156,-0.3845798650739307,0,Same
1971-04-21,103.36000061035156,-0.6249413638387824,0,Same
1971-04-22,103.55999755859375,-0.432655098927226,0,Same
1971-04-23,104.05000305175781,0.0,0,Same
1971-04-26,103.94000244140625,-0.1057189881069398,0,Same
1971-04-27,104.58999633789062,0.0,0,Same
1971-04-28,104.7699966430664,0.0,0,Same
1971-04-29,104.62999725341797,-0.1336254597061659,0,Same
1971-04-30,103.94999694824219,-0.7826665277253175,0,Same
1971-05-03,103.29000091552734,-1.4126140831913547,0,Same
1971-05-04,103.79000091552734,-0.9353782179431946,0,Same
1971-05-05,103.77999877929688,-0.9449249742197519,0,Same
1971-05-06,103.2300033569336,-1.4698800567678805,0,Same
1971-05-07,102.87000274658203,-1.8134904623098635,0,Same
1971-05-10,102.36000061035156,-2.3002730838345697,0,Same
1971-05-11,102.62000274658203,-2.052108394933938,0,Same
1971-05-12,102.9000015258789,-1.7848574755215951,0,Same
1971-05-13,102.69000244140625,-1.985295665080855,0,Same
1971-05-14,102.20999908447266,-2.443445299817304,0,Same
1971-05-17,100.69000244140625,-3.8942391260734732,0,Same
1971-05-18,100.83000183105469,-3.7606136663673073,0,Same
1971-05-19,101.06999969482422,-3.531542490019779,0,Same
1971-05-20,101.30999755859375,-3.3024713136722617,0,Same
1971-05-21,100.98999786376953,-3.607901976149419,0,Same
1971-05-24,100.12999725341797,-4.428748246939563,0,Same
1971-05-25,99.47000122070312,-5.058695802405588,0,Same
1971-05-26,99.58999633789062,-4.944163855252537,0,Same
1971-05-27,99.4000015258789,-5.125508532258682,0,Same
1971-05-28,99.62999725341797,-4.905984112187712,0,Same
1971-06-01,100.19999694824219,-4.361935517086469,0,Same
1971-06-02,100.95999908447266,-3.6365349629376875,0,Same
1971-06-03,101.01000213623047,-3.588808463596316,0,Same
1971-06-04,101.30000305175781,-3.3120107879074157,0,Same
1971-06-07,101.08999633789062,-3.5124562595080677,0,Same
1971-06-08,100.31999969482422,-4.2473962878920135,0,Same
1971-06-09,100.29000091552734,-4.2760292746802815,0,Same
1971-06-10,100.63999938964844,-3.941965625414845,0,Same
1971-06-11,101.06999969482422,-3.531542490019779,0,Same
1971-06-14,100.22000122070312,-4.342842004533365,0,Same
1971-06-15,100.31999969482422,-4.2473962878920135,0,Same
1971-06-16,100.5199966430664,-4.056504854609311,0,Same
1971-06-17,100.5,-4.075591085121022,0,Same
1971-06-18,98.97000122070312,-5.535931667653749,0,Same
1971-06-21,97.87000274658203,-6.585849114791409,0,Same
1971-06-22,97.58999633789062,-6.8531073162451435,0,Same
1971-06-23,98.41000366210938,-6.070433506478434,0,Same
1971-06-24,98.12999725341797,-6.337691707932169,0,Same
1971-06-25,97.98999786376953,-6.471317167638347,0,Same
1971-06-28,97.73999786376953,-6.70993510026242,0,Same
1971-06-29,98.81999969482422,-5.679103883636472,0,Same
1971-06-30,98.69999694824219,-5.793643112830937,0,Same
1971-07-01,99.77999877929688,-4.762811896204989,0,Same
1971-07-02,99.77999877929688,-4.762811896204989,0,Same
1971-07-06,99.76000213623047,-4.781898126716699,0,Same
1971-07-07,100.04000091552734,-4.514647207304357,0,Same
1971-07-08,100.33999633789062,-4.228310057380302,0,Same
1971-07-09,100.69000244140625,-3.8942391260734732,0,Same
1971-07-12,100.81999969482422,-3.7701604226438534,0,Same
1971-07-13,99.5,-5.030062815617331,0,Same
1971-07-14,99.22000122070312,-5.2973137350296735,0,Same
1971-07-15,99.27999877929688,-5.2400477614531376,0,Same
1971-07-16,99.11000061035156,-5.402306207947571,0,Same
1971-07-19,98.93000030517578,-5.574111410718563,0,Same
1971-07-20,99.31999969482422,-5.201868018388323,0,Same
1971-07-21,99.27999877929688,-5.2400477614531376,0,Same
1971-07-22,99.11000061035156,-5.402306207947571,0,Same
1971-07-23,98.94000244140625,-5.564564654442017,0,Same
1971-07-26,98.13999938964844,-6.328144951655624,0,Same
1971-07-27,97.77999877929688,-6.671755357197606,0,Same
1971-07-28,97.06999969482422,-7.349429412005016,0,Same
1971-07-29,96.0199966430664,-8.351627641842697,0,Same
1971-07-30,95.58000183105469,-8.771590251472915,0,Same
1971-08-02,95.95999908447266,-8.408893615419233,0,Same
1971-08-03,94.51000213623047,-9.79287471182232,0,Same
1971-08-04,93.88999938964844,-10.384649806264934,1,Turn
1971-08-05,94.08999633789062,-10.19375837298223,1,Same
1971-08-06,94.25,-10.041039400722951,1,Same
1971-08-09,93.52999877929688,-10.728260211806917,1,Same
1971-08-10,93.54000091552734,-10.71871345553036,1,Turn
1971-08-11,94.66000366210938,-9.649702495839584,0,Same
1971-08-12,96.0,-8.370713872354408,0,Same
1971-08-13,95.69000244140625,-8.666597778555019,0,Same
1971-08-16,98.76000213623047,-5.736369857213008,0,Same
1971-08-17,99.98999786376953,-4.562373706645728,0,Same
1971-08-18,98.5999984741211,-5.889088829472289,0,Same
1971-08-19,98.16000366210938,-6.309051439102509,0,Same
1971-08-20,98.33000183105469,-6.146792992608074,0,Same
