"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 04, 2020","42.990","43.275","43.735","42.910","68.32K","-1.34%"
"Sep 03, 2020","43.575","44.415","44.445","43.470","123.43K","-1.08%"
"Sep 02, 2020","44.050","43.440","44.050","43.440","85.70K","2.18%"
"Sep 01, 2020","43.110","43.380","43.460","43.015","54.86K","-0.36%"
"Aug 31, 2020","43.265","43.445","43.670","43.260","52.90K","-0.43%"
"Aug 28, 2020","43.450","43.640","43.685","43.420","38.42K","-0.89%"
"Aug 27, 2020","43.840","43.625","43.945","43.540","39.17K","0.46%"
"Aug 26, 2020","43.640","43.500","43.730","43.500","43.17K","0.15%"
"Aug 25, 2020","43.575","43.790","43.850","43.515","43.17K","-0.08%"
"Aug 24, 2020","43.610","43.560","43.645","43.445","40.80K","0.62%"
"Aug 21, 2020","43.340","43.305","43.550","43.205","51.16K","-0.02%"
"Aug 20, 2020","43.350","43.160","43.365","43.160","57.52K","-0.18%"
"Aug 19, 2020","43.430","43.255","43.430","43.255","33.23K","0.27%"
"Aug 18, 2020","43.315","43.465","43.615","43.185","25.39K","-0.65%"
"Aug 17, 2020","43.600","43.370","43.610","43.250","121.48K","0.38%"
"Aug 14, 2020","43.435","43.470","43.545","43.215","92.90K","0.00%"
"Aug 13, 2020","43.435","43.415","43.485","43.280","32.06K","-0.54%"
"Aug 12, 2020","43.670","43.470","43.670","43.445","44.11K","0.73%"
"Aug 11, 2020","43.355","43.660","43.750","43.310","82.33K","-0.10%"
"Aug 10, 2020","43.400","43.470","43.645","43.380","50.95K","0.18%"
"Aug 07, 2020","43.320","43.035","43.355","42.955","42.46K","1.23%"
"Aug 06, 2020","42.795","42.875","43.055","42.795","38.76K","-0.47%"
"Aug 05, 2020","42.995","43.370","43.410","42.945","34.35K","-0.76%"
"Aug 04, 2020","43.325","43.280","43.325","42.965","15.99K","0.21%"
"Aug 03, 2020","43.235","42.910","43.330","42.815","60.92K","1.49%"
"Jul 31, 2020","42.600","42.635","42.825","42.420","48.03K","-0.73%"
"Jul 30, 2020","42.915","43.160","43.160","42.625","36.62K","-0.79%"
"Jul 29, 2020","43.255","43.275","43.345","43.190","25.39K","-0.43%"
"Jul 28, 2020","43.440","43.245","43.440","43.095","30.09K","0.66%"
"Jul 27, 2020","43.155","43.350","43.520","43.140","48.64K","-0.48%"
"Jul 24, 2020","43.365","43.405","43.720","43.345","39.17K","-1.50%"
"Jul 23, 2020","44.025","43.975","44.130","43.900","27.76K","0.71%"
"Jul 22, 2020","43.715","43.830","43.885","43.520","50.35K","-1.05%"
"Jul 21, 2020","44.180","44.205","44.375","44.100","45.83K","0.34%"
"Jul 20, 2020","44.030","43.730","44.195","43.675","59.76K","0.19%"
"Jul 17, 2020","43.945","43.825","43.950","43.680","47.88K","0.78%"
"Jul 16, 2020","43.605","43.535","43.715","43.495","36.51K","-0.49%"
"Jul 15, 2020","43.820","43.705","43.930","43.550","74.70K","1.18%"
"Jul 14, 2020","43.310","43.215","43.310","42.970","49.73K","-0.77%"
"Jul 13, 2020","43.645","43.645","43.715","43.430","60.58K","0.60%"
"Jul 10, 2020","43.385","43.075","43.420","43.050","119.66K","1.00%"
"Jul 09, 2020","42.955","43.335","43.425","42.935","77.94K","-0.69%"
"Jul 08, 2020","43.255","43.410","43.510","43.160","69.65K","-0.93%"
"Jul 07, 2020","43.660","43.445","43.665","43.315","28.55K","-0.16%"
"Jul 06, 2020","43.730","43.800","44.000","43.595","52.07K","0.52%"
"Jul 03, 2020","43.505","43.770","43.780","43.375","60.26K","-0.67%"
"Jul 02, 2020","43.800","43.495","43.875","43.450","47.43K","1.12%"
"Jul 01, 2020","43.315","43.340","43.540","43.185","53.80K","0.16%"
"Jun 30, 2020","43.245","43.035","43.300","42.965","85.39K","0.63%"
"Jun 29, 2020","42.975","42.780","43.035","42.570","71.74K","0.24%"
"Jun 26, 2020","42.870","43.255","43.380","42.870","132.91K","0.02%"
"Jun 25, 2020","42.860","42.720","43.070","42.555","83.09K","0.33%"
"Jun 24, 2020","42.720","43.255","43.360","42.715","42.81K","-2.05%"
"Jun 23, 2020","43.615","43.570","43.935","43.470","50.76K","0.24%"
"Jun 22, 2020","43.510","43.490","43.695","43.425","54.18K","-1.21%"
"Jun 19, 2020","44.045","43.775","44.205","43.775","61.70K","0.82%"
"Jun 18, 2020","43.685","43.580","43.790","43.420","47.15K","-0.22%"
"Jun 17, 2020","43.780","43.625","44.000","43.625","54.72K","0.34%"
"Jun 16, 2020","43.630","43.075","43.915","43.060","115.80K","2.36%"
"Jun 15, 2020","42.625","42.000","42.665","41.890","77.61K","-0.84%"
"Jun 12, 2020","42.985","42.715","43.345","42.715","77.59K","0.17%"
"Jun 11, 2020","42.910","43.370","43.565","42.910","130.32K","-2.37%"
"Jun 10, 2020","43.950","44.385","44.410","43.940","61.15K","-0.44%"
"Jun 09, 2020","44.145","44.605","44.655","44.085","144.41K","-0.55%"
"Jun 08, 2020","44.390","44.135","44.410","44.000","132.67K","-0.06%"
"Jun 05, 2020","44.415","43.655","44.415","43.655","141.01K","1.78%"
"Jun 04, 2020","43.640","44.025","44.165","43.555","97.53K","-1.18%"
"Jun 03, 2020","44.160","44.055","44.210","44.000","106.20K","0.50%"
"Jun 02, 2020","43.940","44.035","44.195","43.860","92.30K","0.51%"
"May 29, 2020","43.715","43.860","43.910","43.630","48.32K","-1.10%"
"May 28, 2020","44.200","44.020","44.200","43.900","193.04K","1.20%"
"May 27, 2020","43.675","43.880","44.135","43.465","106.49K","-0.35%"
"May 26, 2020","43.830","44.110","44.145","43.705","160.66K","-0.32%"
"May 25, 2020","43.970","43.745","43.990","43.585","129.26K","1.38%"
"May 22, 2020","43.370","42.945","43.400","42.885","59.01K","0.49%"
"May 21, 2020","43.160","43.205","43.365","43.115","111.37K","-1.21%"
"May 20, 2020","43.690","43.520","43.770","43.315","218.92K","-0.01%"
"May 19, 2020","43.695","44.060","44.060","43.530","181.46K","-0.87%"
"May 18, 2020","44.080","43.695","44.125","43.625","101.91K","2.51%"
"May 15, 2020","43.000","43.345","43.385","42.730","116.11K","0.67%"
"May 14, 2020","42.715","42.855","42.980","42.315","215.35K","-1.05%"
"May 13, 2020","43.170","43.305","43.450","43.060","101.08K","-1.52%"
"May 12, 2020","43.835","43.790","44.090","43.700","120.46K","-0.42%"
"May 11, 2020","44.020","44.220","44.320","43.710","86.25K","0.19%"
"May 08, 2020","43.935","43.915","44.060","43.740","92.02K","0.41%"
"May 07, 2020","43.755","43.375","43.755","43.375","92.01K","0.62%"
"May 06, 2020","43.485","43.865","44.025","43.440","48.80K","-0.48%"
"May 05, 2020","43.695","43.110","43.705","43.095","97.09K","2.58%"
"May 04, 2020","42.595","42.475","42.650","42.205","111.11K","-2.20%"
"Apr 30, 2020","43.555","44.295","44.455","43.415","126.57K","-2.47%"
"Apr 29, 2020","44.660","44.640","45.000","44.445","143.87K","0.36%"
"Apr 28, 2020","44.500","44.265","44.785","44.150","143.63K","0.93%"
"Apr 27, 2020","44.090","43.825","44.090","43.770","110.53K","1.39%"
"Apr 24, 2020","43.485","43.465","43.855","43.355","108.21K","-0.92%"
"Apr 23, 2020","43.890","43.820","44.000","43.565","130.03K","0.70%"
"Apr 22, 2020","43.585","43.030","43.600","43.030","69.18K","2.14%"
"Apr 21, 2020","42.670","43.735","43.990","42.670","43.86K","-3.46%"
"Apr 20, 2020","44.200","44.180","44.280","43.685","153.39K","0.92%"
"Apr 17, 2020","43.795","44.110","44.510","43.640","104.55K","0.81%"
"Apr 16, 2020","43.445","43.405","43.525","43.005","89.36K","1.06%"
"Apr 15, 2020","42.990","43.785","43.785","42.905","153.54K","-1.44%"
"Apr 14, 2020","43.620","43.645","43.860","43.295","154.65K","0.65%"
"Apr 09, 2020","43.340","42.930","43.595","42.300","259.64K","2.34%"
"Apr 08, 2020","42.350","41.735","42.350","41.460","101.22K","-0.17%"
"Apr 07, 2020","42.420","42.425","42.870","42.125","179.81K","2.40%"
"Apr 06, 2020","41.425","41.130","41.485","40.915","75.73K","3.67%"
"Apr 03, 2020","39.960","40.010","40.485","39.870","25.88K","-0.16%"
"Apr 02, 2020","40.025","39.760","40.120","39.105","43.69K","1.32%"
"Apr 01, 2020","39.505","39.450","39.660","39.105","124.61K","-3.75%"
"Mar 31, 2020","41.045","40.890","41.225","40.400","120.25K","1.26%"
"Mar 30, 2020","40.535","39.920","40.535","39.220","70.21K","1.85%"
"Mar 27, 2020","39.800","39.970","40.350","39.500","99.98K","-1.24%"
"Mar 26, 2020","40.300","38.525","40.300","38.215","100.69K","2.54%"
"Mar 25, 2020","39.300","39.045","39.500","38.005","138.53K","2.33%"
"Mar 24, 2020","38.405","37.265","38.445","37.035","90.31K","5.87%"
"Mar 23, 2020","36.275","36.355","38.250","35.810","138.32K","-6.02%"
"Mar 20, 2020","38.600","40.010","40.500","38.385","204.66K","-0.95%"
"Mar 19, 2020","38.970","38.450","39.255","37.540","159.59K","1.83%"
"Mar 18, 2020","38.270","38.820","39.280","37.690","110.14K","-3.20%"
"Mar 17, 2020","39.535","38.675","40.200","37.020","128.32K","2.61%"
