"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 02, 2020","37.13","36.87","37.15","36.87","40.68K","2.02%"
"Sep 01, 2020","36.40","36.40","36.49","36.13","26.46K","0.08%"
"Aug 31, 2020","36.37","36.72","36.81","36.35","31.83K","-0.38%"
"Aug 28, 2020","36.51","36.63","36.63","36.44","56.79K","-0.69%"
"Aug 27, 2020","36.76","36.62","36.90","36.57","41.72K","0.60%"
"Aug 26, 2020","36.54","36.37","36.56","36.31","14.36K","0.76%"
"Aug 25, 2020","36.26","36.53","36.53","36.24","41.21K","-0.04%"
"Aug 24, 2020","36.28","36.16","36.31","36.15","44.79K","1.04%"
"Aug 21, 2020","35.90","35.75","35.95","35.67","31.53K","0.89%"
"Aug 20, 2020","35.59","35.49","35.63","35.44","17.89K","-0.42%"
"Aug 19, 2020","35.74","35.59","35.74","35.51","25.17K","0.62%"
"Aug 18, 2020","35.52","35.60","35.71","35.36","27.52K","-0.53%"
"Aug 17, 2020","35.71","35.60","35.74","35.55","50.51K","0.18%"
"Aug 14, 2020","35.65","35.78","35.78","35.47","14.53K","-0.25%"
"Aug 13, 2020","35.74","35.72","35.79","35.62","15.65K","-0.36%"
"Aug 12, 2020","35.87","35.76","35.88","35.67","20.16K","0.35%"
"Aug 11, 2020","35.74","35.66","35.80","35.62","71.18K","1.05%"
"Aug 10, 2020","35.37","35.34","35.46","35.29","18.95K","0.44%"
"Aug 07, 2020","35.22","35.02","35.29","34.97","17.05K","0.95%"
"Aug 06, 2020","34.88","34.88","34.94","34.74","12.34K","0.09%"
"Aug 05, 2020","34.85","34.90","34.93","34.72","18.91K","0.09%"
"Aug 04, 2020","34.83","34.91","34.91","34.60","32.81K","-0.14%"
"Aug 03, 2020","34.88","34.50","34.94","34.40","54.73K","2.27%"
"Jul 31, 2020","34.10","34.28","34.42","33.99","31.15K","-0.55%"
"Jul 30, 2020","34.29","34.59","34.59","34.00","27.09K","-0.91%"
"Jul 29, 2020","34.60","34.51","34.62","34.45","12.09K","-0.01%"
"Jul 28, 2020","34.61","34.66","34.76","34.51","20.70K","0.45%"
"Jul 27, 2020","34.46","34.62","34.67","34.39","21.42K","-0.85%"
"Jul 24, 2020","34.75","34.80","35.00","34.65","99.79K","-2.03%"
"Jul 23, 2020","35.47","35.60","35.73","35.47","12.76K","0.18%"
"Jul 22, 2020","35.40","35.53","35.58","35.21","50.28K","-1.19%"
"Jul 21, 2020","35.83","35.81","36.04","35.76","23.19K","0.76%"
"Jul 20, 2020","35.56","35.24","35.60","35.17","22.94K","0.38%"
"Jul 17, 2020","35.42","35.46","35.53","35.32","14.49K","0.38%"
"Jul 16, 2020","35.29","35.42","35.45","35.28","13.35K","-0.76%"
"Jul 15, 2020","35.56","35.34","35.65","35.26","32.66K","1.72%"
"Jul 14, 2020","34.96","35.10","35.12","34.71","37.95K","-1.76%"
"Jul 13, 2020","35.58","35.46","35.58","35.37","19.84K","1.22%"
"Jul 10, 2020","35.15","34.88","35.17","34.88","76.81K","0.67%"
"Jul 09, 2020","34.92","35.22","35.30","34.80","23.98K","-0.29%"
"Jul 08, 2020","35.02","35.17","35.28","34.94","25.07K","-1.23%"
"Jul 07, 2020","35.46","35.35","35.53","35.24","33.94K","-0.20%"
"Jul 06, 2020","35.53","35.65","35.65","35.31","30.88K","1.31%"
"Jul 03, 2020","35.06","35.32","35.33","35.00","44.42K","-0.71%"
"Jul 02, 2020","35.31","34.97","35.39","34.75","57.56K","1.49%"
"Jul 01, 2020","34.79","34.71","34.97","34.60","22.80K","0.71%"
"Jun 30, 2020","34.55","34.53","34.65","34.38","22.36K","0.67%"
"Jun 29, 2020","34.32","34.05","34.35","33.90","15.78K","0.09%"
"Jun 26, 2020","34.29","34.78","34.88","34.26","36.66K","-0.46%"
"Jun 25, 2020","34.45","34.24","34.62","34.13","31.74K","0.09%"
"Jun 24, 2020","34.42","35.10","35.12","34.39","15.33K","-2.38%"
"Jun 23, 2020","35.26","35.10","35.33","35.08","39.68K","0.96%"
"Jun 22, 2020","34.92","34.91","35.17","34.79","54.96K","-1.29%"
"Jun 19, 2020","35.38","35.24","35.48","35.24","32.88K","0.91%"
"Jun 18, 2020","35.06","34.99","35.19","34.89","53.10K","-0.60%"
"Jun 17, 2020","35.27","35.06","35.42","35.06","51.01K","0.64%"
"Jun 16, 2020","35.04","34.60","35.42","34.54","62.21K","3.16%"
"Jun 15, 2020","33.97","33.46","34.00","33.30","45.82K","-0.89%"
"Jun 12, 2020","34.28","34.00","34.59","33.98","68.00K","-0.03%"
"Jun 11, 2020","34.28","34.96","34.96","34.28","40.15K","-3.56%"
"Jun 10, 2020","35.55","35.83","35.88","35.49","31.15K","-0.29%"
"Jun 09, 2020","35.65","36.03","36.13","35.56","45.31K","-0.77%"
"Jun 08, 2020","35.93","35.69","35.99","35.68","39.19K","-0.17%"
"Jun 05, 2020","35.99","35.11","35.99","34.69","172.38K","2.74%"
"Jun 04, 2020","35.03","35.38","35.43","34.99","55.90K","-1.12%"
"Jun 03, 2020","35.42","35.08","35.45","35.04","87.62K","1.58%"
"Jun 02, 2020","34.88","34.90","35.04","34.78","65.31K","1.47%"
"May 29, 2020","34.37","34.60","34.68","34.32","51.32K","-2.00%"
"May 28, 2020","35.07","35.02","35.11","34.87","59.65K","1.11%"
"May 27, 2020","34.69","34.98","35.08","34.45","90.82K","-0.37%"
"May 26, 2020","34.81","34.92","35.01","34.76","132.78K","-0.20%"
"May 25, 2020","34.88","34.40","34.88","34.40","145.69K","1.91%"
"May 22, 2020","34.23","33.94","34.35","33.87","37.16K","0.01%"
"May 21, 2020","34.22","34.19","34.45","34.17","29.15K","-0.77%"
"May 20, 2020","34.49","34.12","34.50","34.03","126.43K","0.50%"
