"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 02, 2020","56.81","56.50","56.97","56.50","55.01K","1.77%"
"Sep 01, 2020","55.82","55.81","55.99","55.39","50.93K","0.35%"
"Aug 31, 2020","55.63","56.24","56.30","55.58","76.52K","-0.39%"
"Aug 28, 2020","55.84","56.08","56.08","55.72","51.32K","-0.78%"
"Aug 27, 2020","56.28","56.03","56.42","55.90","55.01K","0.71%"
"Aug 26, 2020","55.88","55.58","55.90","55.58","49.05K","0.75%"
"Aug 25, 2020","55.47","55.81","55.88","55.38","51.26K","0.07%"
"Aug 24, 2020","55.43","55.31","55.46","54.65","233.28K","0.92%"
"Aug 21, 2020","54.92","54.74","55.05","54.62","40.08K","0.60%"
"Aug 20, 2020","54.60","54.37","54.63","54.31","35.91K","-0.42%"
"Aug 19, 2020","54.83","54.53","54.83","54.50","34.62K","0.57%"
"Aug 18, 2020","54.52","54.55","54.80","54.30","28.24K","-0.36%"
"Aug 17, 2020","54.72","54.60","54.74","54.43","64.10K","0.06%"
"Aug 14, 2020","54.68","54.83","54.87","54.36","45.38K","-0.35%"
"Aug 13, 2020","54.87","54.83","54.94","54.66","31.68K","-0.25%"
"Aug 12, 2020","55.01","54.76","55.04","54.74","67.47K","0.48%"
"Aug 11, 2020","54.74","54.76","54.99","54.65","32.74K","0.84%"
"Aug 10, 2020","54.28","54.33","54.50","54.10","38.39K","0.27%"
"Aug 07, 2020","54.14","53.91","54.24","53.75","65.49K","0.86%"
"Aug 06, 2020","53.68","53.66","53.93","53.47","53.71K","0.04%"
"Aug 05, 2020","53.66","53.83","53.97","53.59","49.66K","-0.13%"
"Aug 04, 2020","53.73","53.81","53.85","53.40","82.44K","0.05%"
"Aug 03, 2020","53.71","53.13","53.76","52.90","85.05K","2.18%"
"Jul 31, 2020","52.56","52.67","53.03","52.35","54.49K","-0.32%"
"Jul 30, 2020","52.73","53.20","53.20","52.29","141.33K","-1.00%"
"Jul 29, 2020","53.26","53.13","53.33","53.04","25.93K","-0.24%"
"Jul 28, 2020","53.39","53.33","53.46","53.05","44.81K","0.69%"
"Jul 27, 2020","53.03","53.19","53.37","52.99","68.41K","-0.66%"
"Jul 24, 2020","53.38","53.42","53.73","53.16","104.43K","-1.93%"
"Jul 23, 2020","54.42","54.62","54.76","54.30","27.92K","0.21%"
"Jul 22, 2020","54.31","54.51","54.60","54.07","49.46K","-1.13%"
"Jul 21, 2020","54.93","54.99","55.31","54.82","82.03K","0.65%"
"Jul 20, 2020","54.58","53.97","54.61","53.89","65.46K","0.52%"
"Jul 17, 2020","54.29","54.38","54.40","54.07","38.35K","0.35%"
"Jul 16, 2020","54.10","54.24","54.40","54.00","70.91K","-0.63%"
"Jul 15, 2020","54.44","54.34","54.72","54.13","123.89K","1.54%"
"Jul 14, 2020","53.62","53.83","53.88","53.10","150.05K","-1.86%"
"Jul 13, 2020","54.63","54.40","54.68","54.20","186.45K","1.53%"
"Jul 10, 2020","53.81","53.40","53.85","53.40","70.03K","0.87%"
"Jul 09, 2020","53.35","53.79","54.00","53.17","155.02K","-0.35%"
"Jul 08, 2020","53.53","53.91","53.94","53.42","65.55K","-1.13%"
"Jul 07, 2020","54.15","53.97","54.22","53.76","85.79K","-0.06%"
"Jul 06, 2020","54.18","54.22","54.23","53.91","22.36K","1.28%"
"Jul 03, 2020","53.49","53.90","53.92","53.39","50.54K","-0.65%"
"Jul 02, 2020","53.85","53.35","54.08","53.30","135.00K","1.55%"
"Jul 01, 2020","53.03","52.97","53.35","52.72","79.46K","0.62%"
"Jun 30, 2020","52.70","52.58","52.78","52.29","164.74K","0.78%"
"Jun 29, 2020","52.29","51.91","52.35","51.62","137.53K","0.13%"
"Jun 26, 2020","52.22","52.99","53.13","52.14","83.19K","-0.48%"
"Jun 25, 2020","52.47","52.06","52.57","51.76","70.14K","0.50%"
"Jun 24, 2020","52.21","53.28","53.42","52.21","77.75K","-2.61%"
"Jun 23, 2020","53.61","53.40","53.75","53.35","77.28K","0.91%"
"Jun 22, 2020","53.13","53.09","53.40","52.90","63.02K","-1.24%"
"Jun 19, 2020","53.79","53.63","53.98","53.57","90.40K","0.82%"
"Jun 18, 2020","53.35","53.27","53.54","52.92","129.55K","-0.40%"
"Jun 17, 2020","53.57","53.38","53.86","53.37","62.85K","0.51%"
"Jun 16, 2020","53.30","52.62","53.77","52.56","107.46K","3.42%"
"Jun 15, 2020","51.53","50.66","51.69","50.42","159.58K","-0.69%"
"Jun 12, 2020","51.90","51.56","52.50","51.45","138.84K","-0.07%"
"Jun 11, 2020","51.93","52.91","53.00","51.93","164.10K","-3.59%"
"Jun 10, 2020","53.87","54.39","54.49","53.76","79.05K","-0.46%"
"Jun 09, 2020","54.12","54.81","54.87","53.86","103.55K","-0.73%"
"Jun 08, 2020","54.51","54.13","54.63","54.10","102.02K","0.07%"
"Jun 05, 2020","54.47","53.19","54.47","53.19","113.12K","2.71%"
"Jun 04, 2020","53.04","53.35","53.51","52.90","82.81K","-0.86%"
"Jun 03, 2020","53.50","53.00","53.53","52.96","107.90K","1.56%"
"Jun 02, 2020","52.68","52.69","52.95","52.53","104.43K","0.27%"
"Jun 01, 2020","52.54","52.53","52.58","52.10","53.24K","1.49%"
"May 29, 2020","51.77","52.15","52.24","51.75","93.71K","-1.92%"
"May 28, 2020","52.78","52.76","52.90","52.58","123.69K","1.39%"
"May 27, 2020","52.06","52.42","52.81","51.67","134.62K","-0.23%"
"May 26, 2020","52.18","52.44","52.49","52.08","74.94K","0.12%"
"May 25, 2020","52.12","51.70","52.13","51.61","159.32K","1.83%"
"May 22, 2020","51.18","50.69","51.31","50.48","80.43K","0.30%"
"May 21, 2020","51.03","51.06","51.45","50.95","23.32K","-0.98%"
"May 20, 2020","51.53","51.00","51.54","50.90","82.75K","0.34%"
"May 19, 2020","51.35","51.52","51.56","50.85","85.82K","-0.38%"
"May 18, 2020","51.55","50.65","51.55","50.63","162.47K","3.46%"
"May 15, 2020","49.83","50.25","50.33","49.42","120.29K","0.85%"
"May 14, 2020","49.40","49.55","49.74","48.73","175.59K","-1.19%"
"May 13, 2020","50.00","50.44","50.62","49.94","107.79K","-2.28%"
"May 12, 2020","51.17","51.10","51.49","51.01","113.03K","-0.26%"
"May 11, 2020","51.30","51.51","51.69","50.85","112.80K","0.37%"
"May 08, 2020","51.11","51.11","51.24","50.88","278.07K","0.54%"
"May 07, 2020","50.83","50.34","50.88","50.34","71.84K","1.09%"
"May 06, 2020","50.28","50.49","50.80","50.12","50.69K","-0.40%"
"May 05, 2020","50.49","49.74","50.49","49.65","106.01K","3.16%"
"May 04, 2020","48.94","48.87","49.17","48.50","162.53K","-3.12%"
"Apr 30, 2020","50.51","51.65","51.76","50.50","223.47K","-2.01%"
"Apr 29, 2020","51.55","50.79","51.55","50.63","73.09K","1.92%"
"Apr 28, 2020","50.58","50.33","51.03","50.23","125.81K","0.71%"
"Apr 27, 2020","50.22","49.85","50.22","49.76","60.39K","2.31%"
"Apr 24, 2020","49.09","49.10","49.50","48.94","54.90K","-0.97%"
"Apr 23, 2020","49.57","49.16","49.74","48.92","60.85K","1.35%"
"Apr 22, 2020","48.91","48.33","48.91","48.24","79.74K","2.23%"
"Apr 21, 2020","47.85","49.21","49.22","47.76","155.35K","-3.90%"
"Apr 20, 2020","49.78","49.83","49.92","49.08","159.55K","0.71%"
"Apr 17, 2020","49.44","49.94","50.26","49.27","175.34K","1.52%"
"Apr 16, 2020","48.69","48.85","48.88","48.13","90.99K","1.05%"
"Apr 15, 2020","48.19","49.15","49.17","48.01","215.83K","-1.73%"
"Apr 14, 2020","49.04","49.02","49.40","48.71","288.85K","0.78%"
"Apr 09, 2020","48.66","48.51","48.95","47.60","389.17K","2.02%"
"Apr 08, 2020","47.69","46.96","47.69","46.58","179.94K","-0.01%"
"Apr 07, 2020","47.70","47.67","48.27","47.18","314.72K","3.03%"
"Apr 06, 2020","46.29","45.92","46.42","45.69","223.52K","4.20%"
"Apr 03, 2020","44.43","44.54","45.03","44.28","97.26K","-0.36%"
"Apr 02, 2020","44.59","44.26","44.85","43.45","282.64K","0.91%"
"Apr 01, 2020","44.19","44.08","44.53","43.84","270.18K","-4.23%"
"Mar 31, 2020","46.14","45.78","46.75","45.24","417.87K","1.52%"
"Mar 30, 2020","45.45","44.50","45.45","43.66","151.39K","2.16%"
"Mar 27, 2020","44.49","45.21","45.37","44.17","285.25K","-2.39%"
"Mar 26, 2020","45.58","43.42","45.60","43.06","302.10K","1.78%"
"Mar 25, 2020","44.78","44.35","44.92","43.00","394.81K","2.80%"
"Mar 24, 2020","43.56","41.81","43.56","41.47","197.12K","8.38%"
"Mar 23, 2020","40.19","40.08","42.89","39.46","314.14K","-5.70%"
"Mar 20, 2020","42.63","43.83","44.66","42.30","239.45K","0.61%"
"Mar 19, 2020","42.37","41.51","43.05","40.80","219.80K","1.72%"
"Mar 18, 2020","41.65","41.69","42.40","40.60","483.17K","-3.61%"
"Mar 17, 2020","43.21","43.59","43.91","40.77","552.82K","1.91%"
"Mar 16, 2020","42.40","42.25","43.22","40.10","589.09K","-3.11%"
"Mar 13, 2020","43.76","44.29","45.65","42.79","593.33K","1.65%"
"Mar 12, 2020","43.05","44.84","45.10","42.56","745.54K","-8.93%"
"Mar 11, 2020","47.27","47.81","48.31","47.06","280.12K","0.19%"
"Mar 10, 2020","47.18","48.00","49.30","46.59","607.35K","-1.13%"
"Mar 09, 2020","47.72","47.62","48.52","46.20","584.68K","-6.10%"
"Mar 06, 2020","50.82","51.77","51.91","50.09","437.36K","-4.19%"
"Mar 05, 2020","53.04","53.75","53.83","52.56","284.77K","-0.73%"
"Mar 04, 2020","53.43","52.84","53.72","52.66","260.72K","0.87%"
"Mar 03, 2020","52.97","53.38","54.40","52.62","581.27K","1.15%"
"Mar 02, 2020","52.37","52.77","53.10","50.95","693.60K","1.14%"
"Feb 28, 2020","51.78","51.98","52.33","50.98","781.50K","-4.02%"
"Feb 27, 2020","53.95","55.10","55.20","53.12","337.13K","-4.34%"
"Feb 26, 2020","56.40","56.03","56.59","54.91","371.73K","-0.34%"
"Feb 25, 2020","56.59","57.86","57.92","56.41","180.13K","-1.67%"
"Feb 24, 2020","57.55","58.34","58.37","57.39","390.91K","-3.33%"
"Feb 21, 2020","59.53","59.84","60.03","59.23","81.87K","-0.63%"
"Feb 20, 2020","59.91","60.49","60.53","59.91","91.11K","-1.07%"
