"MSid";"ISIN";"Nome"
"F0000020MG";"IE00B19Z4C24";"Legg Mason Royce US Small Cap Opportunity Fund Class A Euro Accumulating"
"F0GBR06T61";"IE00B11XZ103";"PIMCO GIS Global Bond Fund E Class EUR (Hedged) Accumulation"
"F0GBR06T6F";"IE00B11XZ434";"PIMCO GIS Global Investment Grade Credit Fund E Class EUR (Hedged) Accumulation"
"F0GBR06T6D";"IE00B11XZ327";"PIMCO GIS Global High Yield Bond Fund E Class EUR (Hedged) Accumulation"
"F0GBR04EAN";"LU0114721508";"Fidelity Funds - Global Consumer Industries Fund A-DIST-EUR"
"F0GBR05ZUY";"LU0219418836";"MFS Meridian Funds - Global Total Return Fund A1 EUR"
"F000000FH0";"LU0245181838";"Goldman Sachs Global Small Cap CORE® Equity Portfolio E Acc EUR Close"
"F0GBR04UGX";"LU0125944966";"MFS Meridian Funds - European Smaller Companies Fund A1 EUR"
"F0GBR04GNL";"LU0125951151";"MFS Meridian Funds - European Value Fund A1 EUR"
"F0GBR04E6R";"LU0094560744";"MFS Meridian Funds - Global Equity Fund A1 EUR"
"F00000VIK1";"IE00BGCZ0933";"Vanguard Global Bond Index Fund Investor EUR Hedged Accumulation"
"F0GBR04SKK";"IE00B03HCZ61";"Vanguard Global Stock Index Fund Investor EUR Accumulation"
"F0GBR05XJ0";"LU0102827648";"AB - European Income Portfolio C2 Acc"
"F0GBR04T1N";"LU0119174026";"Aberdeen Standard SICAV I - Select Euro High Yield Bond Fund A MInc EUR"
"F0GBR057ZA";NA;"Alves Ribeiro PPR - Fundo de Investimento Mobiliário Aberto de Poupança Reforma"
"F00000N86D";"LU0658026512";"AXA IM Fixed Income Investment Strategies - Europe Short Duration High Yield E Cap EUR"
"F0GBR05L20";"IE0034277362";"AXA Rosenberg Equity Alpha Trust - AXA Rosenberg Global Small Cap Alpha Fund E EUR Acc"
"F0GBR064Q5";"IE00B02YQS98";"AXA Rosenberg Equity Alpha Trust - AXA Rosenberg US Equity Alpha Fund E (H) EUR Acc"
"F0000001V3";"LU0251661590";"AXA World Funds - Euro 10 + LT E Capitalisation EUR"
"F0000001V0";"LU0251660782";"AXA World Funds - Euro Aggregate Short Duration E Capitalisation EUR"
"F0000001V1";"LU0251660279";"AXA World Funds - Euro 5-7 E Capitalisation EUR"
"F0000001V2";"LU0251659420";"AXA World Funds - Euro 7-10 E Capitalisation EUR"
"F00000PCHJ";"LU0868490540";"AXA World Funds - Framlington Global Small Cap E Capitalisation EUR"
"F0GBR061VJ";"LU0189847253";"AXA World Funds - Global High Yield Bonds E Capitalisation EUR (Hedged)"
"F000000GMD";"LU0266010296";"AXA World Funds - Global Inflation Bonds E Capitalisation EUR"
"F000002FBY";"LU1883854603";"Amundi Funds - Pioneer US Equity Fundamental Growth C EUR C"
"F0GBR04N92";"IE0008248803";"Vanguard Eurozone Stock Index Fund Institutional EUR Accumulation"
