S&P 500 UCITS ETF (USD)   Accumulating (VUAG)

Historical Prices 
Date,Market value(EUR),NAV(USD),
"=""01/02/2021""","=""€56.3500""","=""$68.3493""",
"=""29/01/2021""","=""€55.6800""","=""$67.2702""",
"=""28/01/2021""","=""€56.9400""","=""$68.5870""",
"=""27/01/2021""","=""€56.6800""","=""$67.9185""",
"=""26/01/2021""","=""€57.3700""","=""$69.7083""",
"=""25/01/2021""","=""€57.0900""","=""$69.8119""",
"=""22/01/2021""","=""€57.1160""","=""$69.5607""",
"=""21/01/2021""","=""€57.4500""","=""$69.7704""",
"=""20/01/2021""","=""€57.4300""","=""$69.7435""",
"=""19/01/2021""","=""€56.5260""","=""$68.7852""",


""
""
