"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2021","69.95","69.90","70.05","69.80","8.72K","1.05%"
"May 04, 2021","69.22","70.12","70.21","69.11","34.87K","-1.35%"
"May 03, 2021","70.17","70.14","70.37","70.06","29.95K","0.25%"
"Apr 30, 2021","70.00","70.24","70.26","69.97","8.74K","-0.28%"
"Apr 29, 2021","70.19","70.51","70.59","70.10","32.82K","-0.05%"
"Apr 28, 2021","70.22","70.26","70.35","70.15","9.19K","0.11%"
"Apr 27, 2021","70.15","70.28","70.28","70.00","34.87K","-0.14%"
"Apr 26, 2021","70.25","70.08","70.42","69.97","20.33K","0.31%"
"Apr 23, 2021","70.03","69.62","70.03","69.51","7.01K","-0.01%"
"Apr 22, 2021","70.04","69.90","70.04","69.82","4.57K","0.60%"
"Apr 21, 2021","69.62","69.33","69.62","69.10","4.90K","0.75%"
"Apr 20, 2021","69.11","69.96","70.06","69.11","57.32K","-1.26%"
"Apr 19, 2021","69.99","70.29","70.30","69.85","19.12K","-0.41%"
"Apr 16, 2021","70.28","70.10","70.36","70.10","19.42K","0.35%"
"Apr 15, 2021","70.03","69.75","70.06","69.75","1.32K","0.42%"
"Apr 14, 2021","69.74","69.71","69.85","69.61","2.32K","0.19%"
"Apr 13, 2021","69.60","69.46","69.61","69.35","13.81K","0.34%"
"Apr 12, 2021","69.36","69.36","69.46","69.30","28.83K","0.12%"
"Apr 09, 2021","69.29","69.25","69.30","69.11","41.50K","0.27%"
"Apr 08, 2021","69.10","69.10","69.11","69.00","22.16K","0.49%"
"Apr 07, 2021","68.76","68.83","68.91","68.66","23.47K","-0.18%"
"Apr 06, 2021","68.89","68.69","68.97","68.50","27.87K","1.39%"
"Apr 01, 2021","67.94","67.63","67.98","67.58","23.89K","0.66%"
"Mar 31, 2021","67.50","67.19","67.52","67.13","4.36K","0.30%"
"Mar 30, 2021","67.29","67.38","67.43","67.11","14.16K","0.27%"
"Mar 29, 2021","67.11","67.17","67.38","66.92","34.95K","0.27%"
"Mar 26, 2021","66.93","66.76","66.93","66.64","8.11K","1.09%"
"Mar 25, 2021","66.21","66.19","66.40","65.68","6.31K","-0.73%"
"Mar 24, 2021","66.70","66.31","66.75","66.31","10.55K","-0.19%"
"Mar 23, 2021","66.83","66.76","67.01","66.56","34.49K","-0.27%"
"Mar 22, 2021","67.01","66.32","67.01","66.32","39.97K","0.43%"
"Mar 19, 2021","66.72","66.76","66.92","66.29","22.95K","-0.91%"
"Mar 18, 2021","67.34","67.36","67.40","67.14","9.93K","0.51%"
"Mar 17, 2021","67.00","67.32","67.32","66.96","1.81K","-0.58%"
"Mar 16, 2021","67.39","67.36","67.50","67.30","5.05K","0.68%"
"Mar 15, 2021","66.93","67.18","67.18","66.68","10.71K","0.48%"
"Mar 12, 2021","66.61","66.57","66.73","66.48","15.04K","-0.48%"
"Mar 11, 2021","66.93","66.78","66.93","66.50","16.62K","1.11%"
"Mar 10, 2021","66.19","65.72","66.38","65.72","34.14K","0.27%"
"Mar 09, 2021","66.01","65.31","66.03","65.31","14.75K","0.51%"
"Mar 08, 2021","65.68","64.75","65.82","64.60","24.51K","3.04%"
"Mar 05, 2021","63.74","64.05","64.71","63.60","9.77K","-1.98%"
"Mar 04, 2021","65.03","64.95","65.15","64.60","24.25K","-0.94%"
"Mar 03, 2021","65.64","66.10","66.21","65.28","23.89K","-0.20%"
"Mar 02, 2021","65.78","65.78","66.18","65.71","44.61K","-0.36%"
"Mar 01, 2021","66.01","65.48","66.07","65.34","37.19K","1.63%"
"Feb 26, 2021","64.95","64.71","65.44","64.40","32.47K","-1.45%"
"Feb 25, 2021","65.90","66.54","66.54","65.90","25.28K","-0.39%"
"Feb 24, 2021","66.16","65.72","66.16","65.62","24.83K","0.88%"
"Feb 23, 2021","65.58","66.17","66.17","64.78","23.88K","-0.63%"
"Feb 22, 2021","66.00","65.94","66.04","65.78","15.14K","-0.98%"
"Feb 19, 2021","66.64","66.33","66.69","66.29","34.76K","0.75%"
"Feb 18, 2021","66.15","66.63","66.71","65.98","25.82K","-0.44%"
"Feb 17, 2021","66.44","66.82","66.91","66.42","100.34K","-0.81%"
"Feb 16, 2021","66.98","67.32","67.33","66.98","9.32K","-0.35%"
"Feb 15, 2021","67.21","67.08","67.29","67.04","42.04K","0.89%"
"Feb 12, 2021","66.63","66.27","66.63","66.11","5.81K","0.30%"
"Feb 11, 2021","66.43","66.30","66.47","66.30","14.78K","0.44%"
"Feb 10, 2021","66.14","66.46","66.54","65.90","34.72K","-0.06%"
"Feb 09, 2021","66.18","66.21","66.25","66.10","6.27K","0.18%"
"Feb 08, 2021","66.06","66.11","66.23","66.03","38.53K","0.36%"
"Feb 05, 2021","65.82","65.64","65.85","65.64","8.81K","0.67%"
"Feb 04, 2021","65.38","64.94","65.38","64.94","3.84K","0.65%"
"Feb 03, 2021","64.95","65.32","65.32","64.82","12.38K","0.05%"
"Feb 02, 2021","64.92","64.33","64.98","64.33","10.71K","1.87%"
"Feb 01, 2021","63.72","63.25","63.78","63.25","60.11K","0.83%"
"Jan 29, 2021","63.20","63.38","63.85","63.20","18.61K","-1.92%"
"Jan 28, 2021","64.44","63.42","64.44","62.98","54.47K","0.37%"
"Jan 27, 2021","64.20","64.97","65.07","63.86","38.34K","-1.54%"
"Jan 26, 2021","65.21","64.95","65.48","64.95","16.83K","0.58%"
"Jan 25, 2021","64.83","65.44","65.44","64.44","58.80K","-0.45%"
"Jan 22, 2021","65.12","65.09","65.14","64.83","4.55K","-0.25%"
"Jan 21, 2021","65.28","65.63","65.63","65.28","68.39K","0.08%"
"Jan 20, 2021","65.23","64.73","65.26","64.73","3.13K","1.16%"
"Jan 19, 2021","64.49","64.72","64.75","64.43","7.61K","0.19%"
"Jan 18, 2021","64.36","64.19","64.39","64.14","5.54K","-0.02%"
"Jan 15, 2021","64.38","64.61","64.63","64.00","7.84K","-1.07%"
"Jan 14, 2021","65.07","64.96","65.09","64.96","1.75K","0.33%"
"Jan 13, 2021","64.86","64.80","64.88","64.59","7.02K","0.24%"
"Jan 12, 2021","64.70","64.87","64.91","64.38","35.23K","-0.21%"
"Jan 11, 2021","64.83","64.86","64.87","64.48","10.51K","-0.12%"
"Jan 08, 2021","64.92","65.05","65.08","64.82","7.64K","0.44%"
"Jan 07, 2021","64.63","64.30","64.73","63.96","12.34K","0.77%"
"Jan 06, 2021","64.14","63.82","64.15","63.00","14.07K","1.41%"
"Jan 05, 2021","63.24","63.12","63.37","62.87","0.65K","0.21%"
"Jan 04, 2021","63.12","63.97","64.15","63.05","22.62K","-0.32%"
"Dec 31, 2020","63.32","63.38","63.42","63.30","1.06K","-0.38%"
"Dec 30, 2020","63.56","63.61","63.71","63.45","4.81K","-0.11%"
"Dec 29, 2020","63.63","63.78","63.90","63.48","36.95K","0.20%"
"Dec 28, 2020","63.50","63.37","63.58","63.32","11.00K","0.88%"
"Dec 24, 2020","62.94","63.00","63.12","62.92","22.30K","-0.06%"
"Dec 23, 2020","62.99","62.79","63.00","62.69","8.33K","0.48%"
"Dec 22, 2020","62.69","62.53","62.80","62.53","3.91K","0.76%"
"Dec 21, 2020","62.21","62.36","62.82","61.44","16.75K","-1.21%"
"Dec 18, 2020","62.97","63.17","63.38","62.97","9.66K","-0.30%"
"Dec 17, 2020","63.16","63.24","63.26","63.10","5.17K","0.45%"
"Dec 16, 2020","62.88","62.74","63.04","62.74","5.12K","0.79%"
"Dec 15, 2020","62.38","62.27","62.50","62.27","7.18K","-0.13%"
