"Date","BR_Def","BR_Mod","BR_Grow"
"2015-06-03",100,100,100
"2015-06-04",100.02,99.64,99.35
"2015-06-05",99.77,99.6,99.48
"2015-06-08",99.57,98.99,98.58
"2015-06-09",99.08,98.31,97.8
"2015-06-10",99.02,98.54,98.24
"2015-06-11",99.47,99.48,99.5
"2015-06-12",99.43,99.04,98.82
"2015-06-15",99.26,98.51,98.04
"2015-06-16",99.22,98.63,98.24
"2015-06-17",99.23,98.66,98.28
"2015-06-18",99.22,98.49,98
"2015-06-19",99.44,98.88,98.53
"2015-06-22",99.29,99.18,99.02
"2015-06-23",99.29,99.18,99.02
"2015-06-24",99.6,100.03,100.34
"2015-06-25",99.53,99.83,100.03
"2015-06-26",99.34,99.72,99.98
"2015-06-29",99.13,99.16,99.22
"2015-06-30",99.2,98.6,98.22
"2015-07-01",99.17,99.43,99.65
"2015-07-02",99.06,99.25,99.44
"2015-07-03",99.28,99.15,99.11
"2015-07-06",99.18,98.9,98.78
"2015-07-07",99.79,99.38,99.16
"2015-07-08",99.64,98.68,98.06
"2015-07-09",99.55,98.97,98.62
"2015-07-10",99.04,98.51,98.17
"2015-07-13",99.21,99.6,99.92
"2015-07-14",99.3,99.84,100.26
"2015-07-15",99.62,100.38,100.94
"2015-07-16",99.84,100.95,101.77
"2015-07-17",100.12,101.32,102.18
"2015-07-20",100.15,101.29,102.1
"2015-07-21",100.01,101.05,101.79
"2015-07-22",100.05,100.67,101.12
"2015-07-23",100.07,100.26,100.4
"2015-07-24",100.32,100.26,100.2
"2015-07-27",100.09,98.94,98.12
"2015-07-28",99.98,99.18,98.61
"2015-07-29",100.01,99.54,99.21
"2015-07-30",100.28,100.08,99.94
"2015-07-31",100.45,99.93,99.55
"2015-08-03",100.56,100.37,100.22
"2015-08-04",100.57,100.41,100.31
"2015-08-05",100.18,100.63,100.95
"2015-08-06",100.33,100.36,100.39
"2015-08-07",100.42,100.36,100.33
"2015-08-10",100.4,100.3,100.24
"2015-08-11",100.49,99.71,99.18
"2015-08-12",100.3,98.67,97.54
"2015-08-13",100.21,99.1,98.33
"2015-08-14",100.05,98.84,97.99
"2015-08-17",100.27,98.96,98.04
"2015-08-18",100.18,99.31,98.7
"2015-08-19",99.89,98.73,97.92
"2015-08-20",100.07,97.95,96.47
"2015-08-21",99.77,96.55,94.31
"2015-08-24",98.89,91.77,86.82
"2015-08-25",98.75,93.93,90.58
"2015-08-26",98.52,93.58,90.16
"2015-08-27",98.8,95.04,92.44
"2015-08-28",99.24,95.71,93.27
"2015-08-31",99.09,95.36,92.78
"2015-09-01",98.6,94.11,91.01
"2015-09-02",98.59,94.25,91.25
"2015-09-03",98.98,95.4,92.92
"2015-09-04",98.97,94.55,91.46
"2015-09-07",99.05,94.61,91.51
"2015-09-08",99.04,95.09,92.34
"2015-09-09",99.03,95.88,93.7
"2015-09-10",98.9,94.78,91.95
"2015-09-11",98.83,94.26,91.13
"2015-09-14",98.89,94.33,91.22
"2015-09-15",98.66,94.34,91.38
"2015-09-16",98.59,94.96,92.47
"2015-09-17",98.62,95.16,92.78
"2015-09-18",99.05,94.53,91.43
"2015-09-21",98.88,94.96,92.27
"2015-09-22",98.97,94.65,91.69
"2015-09-23",98.95,94.42,91.32
"2015-09-24",98.96,93.58,89.92
"2015-09-25",98.75,94.57,91.72
"2015-09-28",98.68,93.82,90.52
"2015-09-29",98.51,93.04,89.34
"2015-09-30",98.7,93.82,90.5
"2015-10-01",98.97,94.15,90.88
"2015-10-02",99.24,93.9,90.29
"2015-10-05",99.36,95.84,93.44
"2015-10-06",99.2,96.01,93.84
"2015-10-07",99.45,96.42,94.37
"2015-10-08",99.5,96.22,93.98
"2015-10-09",99.53,96.51,94.46
"2015-10-12",99.63,96.38,94.17
