Date	Highprice	Lowprice	Closingprice	Averageprice	Totalvolume	Turnover
2020-03-27	"1,454.45"	"1,405.95"	"1,419.29"		1	
2020-03-26	"1,470.89"	"1,402.86"	"1,470.89"		1	
2020-03-25	"1,446.56"	"1,362.76"	"1,446.56"		1	
2020-03-24	"1,383.88"	"1,332.41"	"1,383.88"		1	
2020-03-23	"1,351.74"	"1,284.48"	"1,292.27"		1	
2020-03-20	"1,431.56"	"1,355.54"	"1,355.54"		1	
2020-03-19	"1,380.58"	"1,328.52"	"1,380.58"		1	
2020-03-18	"1,364.56"	"1,310.96"	"1,337.24"		1	
2020-03-17	"1,384.75"	"1,295.40"	"1,372.79"		1	
2020-03-16	"1,355.88"	"1,261.17"	"1,329.16"		1	
2020-03-13	"1,469.71"	"1,343.88"	"1,376.46"		1	
2020-03-12	"1,447.69"	"1,344.08"	"1,352.13"		1	
2020-03-11	"1,561.44"	"1,506.84"	"1,511.96"		1	
2020-03-10	"1,604.73"	"1,521.84"	"1,533.79"		1	
2020-03-09	"1,568.67"	"1,511.18"	"1,542.44"		1	
2020-03-06	"1,657.13"	"1,616.06"	"1,629.00"		1	
2020-03-05	"1,723.51"	"1,666.77"	"1,683.19"		1	
2020-03-04	"1,724.26"	"1,687.33"	"1,704.20"		1	
2020-03-03	"1,732.03"	"1,693.21"	"1,694.56"		1	
2020-03-02	"1,711.54"	"1,644.33"	"1,679.13"		1	
2020-02-28	"1,689.67"	"1,646.11"	"1,668.84"		1	
2020-02-27	"1,779.72"	"1,691.13"	"1,721.59"		1	
2020-02-26	"1,787.07"	"1,709.32"	"1,782.10"		1	
2020-02-25	"1,812.90"	"1,766.33"	"1,769.14"		1	
2020-02-24	"1,872.00"	"1,791.96"	"1,798.20"		1	
2020-02-21	"1,896.76"	"1,871.22"	"1,879.10"		1	
2020-02-20	"1,905.61"	"1,896.78"	"1,898.93"		1	
2020-02-19	"1,901.13"	"1,880.69"	"1,900.28"		1	
2020-02-18	"1,888.98"	"1,869.27"	"1,878.79"		1	
2020-02-17	"1,897.93"	"1,885.42"	"1,888.35"		1	
2020-02-14	"1,892.15"	"1,881.35"	"1,885.62"		1	
2020-02-13	"1,887.25"	"1,864.05"	"1,883.02"		1	
2020-02-12	"1,893.27"	"1,879.13"	"1,889.75"		1	
2020-02-11	"1,885.50"	"1,859.24"	"1,884.13"		1	
2020-02-10	"1,860.70"	"1,843.47"	"1,858.00"		1	
2020-02-07	"1,856.34"	"1,841.59"	"1,849.86"		1	
2020-02-06	"1,864.32"	"1,843.86"	"1,851.95"		1	
2020-02-05	"1,854.10"	"1,815.32"	"1,847.35"		1	
2020-02-04	"1,821.04"	"1,785.41"	"1,821.04"		1	
2020-02-03	"1,791.59"	"1,774.18"	"1,782.91"		1	
2020-01-31	"1,806.55"	"1,778.08"	"1,783.26"		1	
2020-01-30	"1,805.62"	"1,771.15"	"1,787.96"		1	
2020-01-29	"1,798.52"	"1,784.15"	"1,791.67"		1	
2020-01-28	"1,791.50"	"1,763.45"	"1,786.35"		1	
2020-01-27	"1,808.02"	"1,766.71"	"1,771.48"		1	
2020-01-24	"1,820.75"	"1,798.29"	"1,812.85"		1	
2020-01-23	"1,809.72"	"1,790.97"	"1,795.43"		1	
2020-01-22	"1,834.10"	"1,810.72"	"1,811.76"		1	
2020-01-21	"1,826.62"	"1,800.60"	"1,825.62"		1	
2020-01-20	"1,829.68"	"1,819.80"	"1,821.29"		1	
2020-01-17	"1,831.52"	"1,813.24"	"1,825.94"		1	
2020-01-16	"1,812.30"	"1,787.30"	"1,812.30"		1	
2020-01-15	"1,794.08"	"1,780.88"	"1,787.29"		1	
2020-01-14	"1,794.02"	"1,772.69"	"1,792.90"		1	
2020-01-13	"1,798.06"	"1,781.32"	"1,790.51"		1	
2020-01-10	"1,800.16"	"1,784.28"	"1,784.97"		1	
2020-01-09	"1,811.22"	"1,793.74"	"1,796.73"		1	
2020-01-08	"1,796.79"	"1,774.36"	"1,795.41"		1	
2020-01-07	"1,805.65"	"1,784.86"	"1,796.85"		1	
2020-01-03	"1,806.41"	"1,778.53"	"1,785.23"		1	
2020-01-02	"1,810.20"	"1,771.85"	"1,808.63"		1	
2019-12-30	"1,798.29"	"1,769.19"	"1,771.85"		1	
