"date" "Price"
"1" "2010-01-16" "26.9800"
"2" "2010-01-17" "27.2500"
"3" "2010-01-18" "26.8000"
"4" "2010-01-19" "27.0000"
"5" "2010-01-20" "27.0000"
"6" "2010-01-21" "27.0000"
"7" "2010-01-22" "27.0000"
"8" "2010-01-23" "26.0000"
"9" "2010-01-24" "25.9700"
"10" "2010-01-25" "25.9700"
"11" "2010-01-26" "26.1400"
"12" "2010-01-27" "26.1400"
"13" "2010-01-28" "26.1400"
"14" "2010-01-29" "26.1400"
"15" "2010-01-30" "25.7000"
"16" "2010-01-31" "25.7000"
"17" "2010-02-01" "25.7000"
"18" "2010-02-02" "25.7000"
"19" "2010-02-03" "25.7000"
"20" "2010-02-04" "25.7000"
"21" "2010-02-05" "25.7000"
"22" "2010-02-06" "25.7000"
"23" "2010-02-07" "25.7000"
"24" "2010-02-08" "25.3700"
"25" "2010-02-09" "25.3000"
"26" "2010-02-10" "25.4000"
"27" "2010-02-11" "25.4000"
"28" "2010-02-12" "25.4000"
"29" "2010-02-13" "25.4000"
"30" "2010-02-14" "25.4000"
"31" "2010-02-15" "25.4000"
"32" "2010-02-16" "26.0700"
"33" "2010-02-17" "26.0700"
"34" "2010-02-18" "26.0700"
"35" "2010-02-19" "26.0700"
"36" "2010-02-20" "26.1300"
"37" "2010-02-21" "25.8000"
"38" "2010-02-22" "25.8600"
"39" "2010-02-23" "25.4300"
"40" "2010-02-24" "25.7200"
"41" "2010-02-25" "25.7200"
"42" "2010-02-26" "25.7200"
"43" "2010-02-27" "26.0000"
"44" "2010-02-28" "26.2200"
"45" "2010-03-01" "26.2400"
"46" "2010-03-02" "26.5000"
"47" "2010-03-03" "26.9400"
"48" "2010-03-04" "26.9400"
"49" "2010-03-05" "26.9400"
"50" "2010-03-06" "26.9200"
"51" "2010-03-07" "26.9100"
"52" "2010-03-08" "27.0600"
"53" "2010-03-09" "27.0000"
"54" "2010-03-10" "27.1200"
"55" "2010-03-11" "27.1200"
"56" "2010-03-12" "27.1200"
"57" "2010-03-13" "26.8900"
"58" "2010-03-14" "26.8900"
"59" "2010-03-15" "27.2200"
"60" "2010-03-16" "27.3600"
"61" "2010-03-17" "27.0500"
"62" "2010-03-18" "27.0500"
"63" "2010-03-19" "27.0500"
"64" "2010-03-20" "27.2200"
"65" "2010-03-21" "27.3600"
"66" "2010-03-22" "27.2900"
"67" "2010-03-23" "27.6900"
"68" "2010-03-24" "27.6200"
"69" "2010-03-25" "27.6200"
"70" "2010-03-26" "27.6200"
"71" "2010-03-27" "27.6400"
"72" "2010-03-28" "27.6000"
"73" "2010-03-29" "27.5300"
"74" "2010-03-30" "27.9700"
"75" "2010-03-31" "27.9700"
"76" "2010-04-01" "27.9700"
"77" "2010-04-02" "27.9700"
"78" "2010-04-03" "27.9700"
"79" "2010-04-04" "28.1900"
"80" "2010-04-05" "28.1500"
"81" "2010-04-06" "27.9000"
"82" "2010-04-07" "28.1800"
"83" "2010-04-08" "28.1800"
"84" "2010-04-09" "28.1800"
"85" "2010-04-10" "28.2300"
"86" "2010-04-11" "28.1400"
"87" "2010-04-12" "28.3500"
"88" "2010-04-13" "28.5200"
"89" "2010-04-14" "28.0800"
"90" "2010-04-15" "28.0800"
"91" "2010-04-16" "28.0800"
"92" "2010-04-17" "27.9500"
"93" "2010-04-18" "28.3100"
"94" "2010-04-19" "28.2100"
"95" "2010-04-20" "27.8500"
"96" "2010-04-21" "28.1000"
"97" "2010-04-22" "28.1000"
"98" "2010-04-23" "28.1000"
"99" "2010-04-24" "28.3600"
"100" "2010-04-25" "27.6800"
"101" "2010-04-26" "27.4600"
"102" "2010-04-27" "27.3000"
"103" "2010-04-28" "27.3600"
"104" "2010-04-29" "27.3600"
"105" "2010-04-30" "27.3600"
"106" "2010-05-01" "27.4400"
"107" "2010-05-02" "26.6900"
"108" "2010-05-03" "26.4700"
"109" "2010-05-04" "26.1300"
"110" "2010-05-05" "25.4300"
"111" "2010-05-06" "25.4300"
"112" "2010-05-07" "25.4300"
"113" "2010-05-08" "26.7200"
"114" "2010-05-09" "26.4500"
"115" "2010-05-10" "27.2400"
"116" "2010-05-11" "27.2100"
"117" "2010-05-12" "26.2900"
"118" "2010-05-13" "26.2900"
"119" "2010-05-14" "26.2900"
"120" "2010-05-15" "26.3300"
"121" "2010-05-16" "26.7300"
"122" "2010-05-17" "26.0300"
"123" "2010-05-18" "25.2300"
"124" "2010-05-19" "25.1700"
"125" "2010-05-20" "25.1700"
"126" "2010-05-21" "25.1700"
"127" "2010-05-22" "25.3000"
"128" "2010-05-23" "24.7200"
"129" "2010-05-24" "25.4100"
"130" "2010-05-25" "26.0100"
"131" "2010-05-26" "25.9500"
"132" "2010-05-27" "25.9500"
"133" "2010-05-28" "25.9500"
"134" "2010-05-29" "26.0200"
"135" "2010-05-30" "25.8100"
"136" "2010-05-31" "26.1700"
"137" "2010-06-01" "26.5300"
"138" "2010-06-02" "26.5300"
"139" "2010-06-03" "26.5300"
