"date" "Price"
"1" "2013-12-20" NA
"2" "2013-12-21" "37.66"
"3" "2013-12-22" "37.66"
"4" "2013-12-23" "37.66"
"5" "2013-12-24" "37.66"
"6" "2013-12-25" "37.81"
"7" "2013-12-26" "37.81"
"8" "2013-12-27" "37.81"
"9" "2013-12-28" "37.91"
"10" "2013-12-29" "37.91"
"11" "2013-12-30" "37.91"
"12" "2013-12-31" "38.00"
"13" "2014-01-01" "38.17"
"14" "2014-01-02" "38.17"
"15" "2014-01-03" "38.17"
"16" "2014-01-04" "38.02"
"17" "2014-01-05" "38.36"
"18" "2014-01-06" "38.42"
"19" "2014-01-07" "38.27"
"20" "2014-01-08" "38.33"
"21" "2014-01-09" "38.33"
"22" "2014-01-10" "38.33"
"23" "2014-01-11" "38.56"
"24" "2014-01-12" "38.32"
"25" "2014-01-13" "38.76"
"26" "2014-01-14" "38.64"
"27" "2014-01-15" "38.85"
"28" "2014-01-16" "38.85"
"29" "2014-01-17" "38.85"
"30" "2014-01-18" "38.80"
"31" "2014-01-19" "38.76"
"32" "2014-01-20" "38.87"
"33" "2014-01-21" "38.29"
"34" "2014-01-22" "37.46"
"35" "2014-01-23" "37.46"
"36" "2014-01-24" "37.46"
"37" "2014-01-25" "37.11"
"38" "2014-01-26" "37.41"
"39" "2014-01-27" "37.40"
"40" "2014-01-28" "37.86"
"41" "2014-01-29" "37.87"
"42" "2014-01-30" "37.87"
"43" "2014-01-31" "37.87"
"44" "2014-02-01" "37.03"
"45" "2014-02-02" "37.06"
"46" "2014-02-03" "36.79"
"47" "2014-02-04" "37.20"
"48" "2014-02-05" "37.45"
"49" "2014-02-06" "37.45"
"50" "2014-02-07" "37.45"
"51" "2014-02-08" "37.41"
"52" "2014-02-09" "37.72"
"53" "2014-02-10" "38.15"
"54" "2014-02-11" "38.09"
"55" "2014-02-12" "38.31"
"56" "2014-02-13" "38.31"
"57" "2014-02-14" "38.31"
"58" "2014-02-15" "38.45"
"59" "2014-02-16" "38.46"
"60" "2014-02-17" "38.49"
"61" "2014-02-18" "38.49"
"62" "2014-02-19" "38.71"
"63" "2014-02-20" "38.71"
"64" "2014-02-21" "38.71"
"65" "2014-02-22" "38.98"
"66" "2014-02-23" "38.90"
"67" "2014-02-24" "39.11"
"68" "2014-02-25" "39.01"
"69" "2014-02-26" "39.16"
"70" "2014-02-27" "39.16"
"71" "2014-02-28" "39.16"
"72" "2014-03-01" "38.53"
"73" "2014-03-02" "39.53"
"74" "2014-03-03" "39.46"
"75" "2014-03-04" "39.37"
"76" "2014-03-05" "39.11"
"77" "2014-03-06" "39.11"
"78" "2014-03-07" "39.11"
"79" "2014-03-08" "38.89"
"80" "2014-03-09" "38.82"
"81" "2014-03-10" "38.54"
"82" "2014-03-11" "38.29"
"83" "2014-03-12" "38.21"
"84" "2014-03-13" "38.21"
"85" "2014-03-14" "38.21"
"86" "2014-03-15" "38.52"
"87" "2014-03-16" "38.83"
"88" "2014-03-17" "38.80"
"89" "2014-03-18" "38.85"
"90" "2014-03-19" "38.75"
"91" "2014-03-20" "38.75"
"92" "2014-03-21" "38.75"
"93" "2014-03-22" "38.28"
"94" "2014-03-23" "38.60"
"95" "2014-03-24" "38.61"
"96" "2014-03-25" "38.42"
"97" "2014-03-26" "38.70"
"98" "2014-03-27" "38.70"
"99" "2014-03-28" "38.70"
"100" "2014-03-29" "38.76"
"101" "2014-03-30" "39.12"
"102" "2014-03-31" "39.39"
"103" "2014-04-01" "39.42"
"104" "2014-04-02" "39.40"
"105" "2014-04-03" "39.40"
"106" "2014-04-04" "39.40"
"107" "2014-04-05" "38.59"
"108" "2014-04-06" "38.27"
"109" "2014-04-07" "38.48"
