,Portfolio
2007-04-20,100.0
2007-04-21,100.0
2007-04-22,100.0
2007-04-23,100.22
2007-04-24,99.9
2007-04-25,100.1
2007-04-26,100.3
2007-04-27,100.14
2007-04-28,100.14
2007-04-29,100.14
2007-04-30,100.01
2007-05-01,99.9
2007-05-02,100.46
2007-05-03,100.62
2007-05-04,100.94
2007-05-05,100.94
2007-05-06,100.94
2007-05-07,100.93
2007-05-08,100.83
2007-05-09,100.94
2007-05-10,100.55
2007-05-11,100.8
2007-05-12,100.8
2007-05-13,100.8
2007-05-14,100.64
2007-05-15,100.47
2007-05-16,100.68
2007-05-17,100.69
2007-05-18,101.02
2007-05-19,101.02
2007-05-20,101.02
2007-05-21,101.37
2007-05-22,101.4
2007-05-23,101.4
2007-05-24,101.14
2007-05-25,101.14
2007-05-26,101.14
2007-05-27,101.14
2007-05-28,101.13
2007-05-29,101.34
2007-05-30,101.54
2007-05-31,101.87
2007-06-01,102.16
2007-06-02,102.16
2007-06-03,102.16
2007-06-04,102.05
2007-06-05,101.67
2007-06-06,101.09
2007-06-07,100.41
2007-06-08,100.54
2007-06-09,100.54
2007-06-10,100.54
2007-06-11,100.86
2007-06-12,100.57
2007-06-13,100.63
2007-06-14,101.1
2007-06-15,101.44
2007-06-16,101.44
2007-06-17,101.44
2007-06-18,101.38
2007-06-19,101.18
2007-06-20,101.15
2007-06-21,100.99
2007-06-22,100.61
2007-06-23,100.61
2007-06-24,100.61
2007-06-25,100.41
2007-06-26,100.21
2007-06-27,100.22
2007-06-28,100.6
2007-06-29,100.64
2007-06-30,100.64
2007-07-01,100.64
2007-07-02,100.61
2007-07-03,100.95
2007-07-04,100.97
2007-07-05,101.04
2007-07-06,101.12
2007-07-07,101.12
2007-07-08,101.12
2007-07-09,101.32
2007-07-10,100.73
2007-07-11,100.51
2007-07-12,100.97
2007-07-13,101.13
2007-07-14,101.13
2007-07-15,101.13
2007-07-16,101.21
2007-07-17,100.97
2007-07-18,100.58
2007-07-19,100.96
2007-07-20,100.61
