"Date","Price","Open","High","Low","Vol.","Change %"
"May 17, 2021","246.73","247.11","247.11","246.58","13.07K","-0.10%"
"May 14, 2021","246.98","247.05","247.08","246.96","0.14K","-0.02%"
"May 13, 2021","247.04","247.32","247.32","246.82","0.58K","-0.12%"
"May 12, 2021","247.33","247.79","247.94","247.33","0.17K","-0.19%"
"May 11, 2021","247.80","248.10","248.25","247.80","1.24K","-0.23%"
"May 10, 2021","248.36","248.00","248.45","248.00","2.94K","0.05%"
"May 07, 2021","248.24","248.63","248.63","248.24","0.07K","-0.15%"
"May 06, 2021","248.61","248.68","248.80","248.58","0.73K","-0.02%"
"May 05, 2021","248.66","248.78","249.37","248.51","19.11K","-0.08%"
"May 04, 2021","248.87","248.53","248.95","248.50","0.12K","0.17%"
"May 03, 2021","248.45","248.48","248.59","248.18","11.25K","0.02%"
"Apr 30, 2021","248.40","248.36","248.45","248.31","2.16K","0.06%"
"Apr 29, 2021","248.25","248.63","248.64","248.16","5.14K","-0.16%"
"Apr 28, 2021","248.64","248.56","248.64","248.34","0.19K","-0.07%"
"Apr 27, 2021","248.82","248.89","248.99","248.76","0.42K","-0.03%"
"Apr 26, 2021","248.90","248.90","249.05","248.71","1.58K","-0.04%"
"Apr 23, 2021","249.01","249.25","249.25","249.01","1.74K","-0.04%"
"Apr 22, 2021","249.10","249.31","249.31","249.08","-","-0.02%"
"Apr 21, 2021","249.16","249.08","249.35","248.96","0.42K","0.05%"
"Apr 20, 2021","249.04","248.81","249.04","248.62","0.33K","0.08%"
"Apr 19, 2021","248.84","249.28","249.45","248.84","1.86K","-0.16%"
"Apr 16, 2021","249.24","249.33","249.50","249.16","31.04K","-0.09%"
"Apr 15, 2021","249.47","248.96","249.47","248.96","0.29K","0.17%"
"Apr 14, 2021","249.05","249.58","249.58","249.05","0.13K","-0.14%"
"Apr 13, 2021","249.40","249.34","249.44","249.16","0.37K","-0.03%"
"Apr 12, 2021","249.48","249.63","249.89","249.48","0.29K","0.00%"
"Apr 09, 2021","249.48","249.98","249.98","249.44","1.88K","-0.26%"
"Apr 08, 2021","250.14","250.05","250.16","250.01","0.26K","0.09%"
"Apr 07, 2021","249.91","250.09","250.09","249.81","0.56K","0.03%"
"Apr 06, 2021","249.84","250.10","250.10","249.77","0.69K","-0.14%"
