Date,Close,CBR
1994-01-03,465.44,113.94
1994-01-04,466.89,114.17
1994-01-05,467.55,116.27
1994-01-06,467.12,116.51
1994-01-07,469.9,116.3
1994-01-10,475.27,114.86
1994-01-11,474.13,115.73
1994-01-12,474.17,114.94
1994-01-13,472.47,115.76
1994-01-14,474.91,117.19
1994-01-17,473.3,117.5
1994-01-18,474.25,116.85
1994-01-19,474.3,116.54
1994-01-20,474.98,116.03
1994-01-21,474.72,116.21
1994-01-24,471.97,117.37
1994-01-25,470.92,117.32
1994-01-26,473.2,118.67
1994-01-27,477.05,118.64
1994-01-28,478.7,118.72
1994-01-31,481.61,118.52
1994-02-01,479.62,120.8
1994-02-02,482.0,121.32
1994-02-03,480.71,120.97
1994-02-04,469.81,120.22
1994-02-07,471.76,119.2
1994-02-08,471.05,119.53
1994-02-09,472.77,118.33
1994-02-10,468.93,118.14
1994-02-11,470.18,118.32
1994-02-14,470.23,116.99
1994-02-15,472.52,116.82
1994-02-16,472.79,116.75
1994-02-17,470.34,117.3
1994-02-18,467.69,117.51
1994-02-22,471.46,118.05
1994-02-23,470.69,117.96
1994-02-24,464.26,119.06
1994-02-25,466.07,118.56
1994-02-28,467.14,118.03
1994-03-01,464.44,118.28
1994-03-02,464.81,118.04
1994-03-03,463.01,117.66
1994-03-04,464.74,118.11
1994-03-07,466.91,116.93
1994-03-08,465.88,116.72
1994-03-09,467.06,116.97
1994-03-10,463.9,117.13
1994-03-11,466.44,118.03
1994-03-14,467.39,118.65
1994-03-15,467.01,119.48
1994-03-16,469.42,120.49
1994-03-17,470.9,119.61
1994-03-18,471.06,119.88
1994-03-21,468.54,120.2
1994-03-22,468.8,120.46
1994-03-23,468.54,120.08
1994-03-24,464.35,120.21
1994-03-25,460.58,120.25
1994-03-28,460.0,117.07
1994-03-29,452.48,117.29
1994-03-30,445.55,117.26
1994-03-31,445.77,118.45
1994-04-04,438.92,120.3
1994-04-05,448.29,119.31
1994-04-06,448.05,119.89
1994-04-07,450.88,119.27
1994-04-08,447.1,119.12
1994-04-11,449.87,119.37
1994-04-12,447.57,119.14
1994-04-13,446.26,119.62
1994-04-14,446.38,120.31
1994-04-15,446.18,120.87
1994-04-18,442.46,120.76
1994-04-19,442.54,119.4
1994-04-20,441.96,119.72
1994-04-21,448.73,120.87
1994-04-22,447.63,122.13
1994-04-25,452.71,122.5
1994-04-26,451.87,121.33
1994-04-27,,121.39
1994-04-28,449.1,121.35
1994-04-29,450.91,122.47
1994-05-02,453.02,122.83
1994-05-03,453.03,122.36
1994-05-04,451.72,122.38
1994-05-05,451.38,123.28
1994-05-06,447.82,124.91
1994-05-09,442.32,125.21
1994-05-10,446.01,124.67
1994-05-11,441.49,125.37
1994-05-12,443.75,126.28
1994-05-13,444.14,126.87
1994-05-16,444.49,127.63
1994-05-17,449.37,126.9
1994-05-18,453.69,128.31
1994-05-19,456.48,129.29
1994-05-20,454.92,129.62
1994-05-23,453.2,131.64
1994-05-24,454.81,129.61
1994-05-25,456.34,127.92
1994-05-26,457.06,127.07
1994-05-27,457.33,128.15
1994-05-31,456.5,130.67
1994-06-01,457.63,129.51
1994-06-02,457.65,130.01
1994-06-03,460.13,129.11
1994-06-06,458.88,127.74
1994-06-07,458.21,127.78
1994-06-08,457.06,129.8
1994-06-09,457.86,130.25
1994-06-10,458.67,130.57
1994-06-13,459.1,132.37
1994-06-14,462.37,132.6
1994-06-15,460.61,135.32
1994-06-16,461.93,134.91
1994-06-17,458.45,137.2
1994-06-20,455.48,135.37
1994-06-21,451.34,134.32
1994-06-22,453.09,132.8
1994-06-23,449.63,133.08
1994-06-24,442.8,132.96
1994-06-27,447.31,132.56
1994-06-28,446.07,134.34
1994-06-29,447.63,133.65
1994-06-30,444.27,135.2
1994-07-01,446.2,136.04
1994-07-05,446.37,134.4
1994-07-06,446.13,133.56
1994-07-07,448.38,133.05
1994-07-08,449.55,134.35
1994-07-11,448.06,138.04
1994-07-12,447.95,138.77
1994-07-13,448.73,138.57
1994-07-14,453.41,138.55
1994-07-15,454.16,138.85
1994-07-18,455.22,138.22
