Date,S&P USD,S&P SEK,S&P BRL,S&P BTC
2018-01-02,100.0,100.0,100.0,100.0
2018-01-03,100.64,100.62,100.03,92.63
2018-01-04,101.05,100.61,99.97,92.71
2018-01-05,101.76,101.27,100.71,92.47
2018-01-08,101.93,102.25,100.95,84.55
2018-01-09,102.06,102.92,101.65,92.34
2018-01-10,101.94,102.26,101.14,95.69
2018-01-11,102.66,102.16,101.51,93.74
2018-01-12,103.35,102.35,101.9,107.36
2018-01-16,102.99,101.32,101.9,101.52
2018-01-17,103.96,102.16,102.67,128.42
2018-01-18,103.79,101.79,102.36,128.96
2018-01-19,104.25,102.49,102.43,126.91
2018-01-22,105.09,103.4,103.17,126.16
2018-01-23,105.32,103.47,104.32,137.95
2018-01-24,105.26,102.27,103.06,129.54
2018-01-25,105.32,101.23,101.61,128.94
2018-01-26,106.57,102.65,102.91,131.25
2018-01-29,105.85,102.4,102.65,124.26
2018-01-30,104.7,101.11,102.3,128.97
2018-01-31,104.75,100.92,102.06,142.07
2018-02-01,104.68,100.66,101.79,142.8
2018-02-02,102.46,99.16,101.16,155.8
2018-02-05,98.26,95.3,97.49,161.56
2018-02-06,99.98,97.3,99.71,201.92
2018-02-07,99.48,97.86,99.48,178.77
2018-02-08,95.74,95.16,96.55,163.26
2018-02-09,97.17,96.39,98.55,162.87
2018-02-12,98.52,97.49,99.52,163.1
2018-02-13,98.78,97.01,99.77,154.84
2018-02-14,100.1,98.06,99.89,160.82
2018-02-15,101.31,98.67,100.37,149.91
2018-02-16,101.35,98.52,100.1,140.31
2018-02-20,100.76,99.59,100.18,125.25
2018-02-21,100.2,99.03,100.08,121.51
2018-02-22,100.3,99.69,100.18,131.53
2018-02-23,101.91,101.77,101.05,141.74
2018-02-26,103.11,102.96,102.35,146.87
2018-02-27,101.8,102.43,101.34,135.87
2018-02-28,100.67,101.86,100.08,129.18
2018-03-01,99.33,100.4,98.72,132.3
2018-03-02,99.83,100.89,99.5,125.25
2018-03-05,100.93,101.96,100.64,121.97
2018-03-06,101.2,101.65,99.87,120.54
