"Dates","VA20","VA40","VA60","VA80"
"2021-02-02",25.16,25.48,25.77,26.16
"2021-02-01",25.13,25.29,25.5,25.69
"2021-01-29",25.07,25.16,25.31,25.42
"2021-01-28",25.2,25.35,25.61,25.82
"2021-01-27",25.23,25.41,25.63,25.82
"2021-01-26",25.26,25.49,25.83,26.14
"2021-01-25",25.25,25.49,25.79,26.03
"2021-01-22",25.21,25.47,25.78,26.05
"2021-01-21",25.29,25.58,25.91,26.24
"2021-01-20",25.28,25.61,25.93,26.25
"2021-01-19",25.24,25.51,25.7,26
"2021-01-18",25.2,25.48,25.76,25.96
"2021-01-15",25.2,25.45,25.7,25.89
"2021-01-14",25.3,25.55,25.83,26.08
"2021-01-13",25.24,25.47,25.73,25.97
"2021-01-12",25.14,25.41,25.65,25.92
"2021-01-11",25.2,25.46,25.69,25.92
"2021-01-08",25.22,25.43,25.64,25.82
"2021-01-07",25.14,25.33,25.46,25.59
